a	/ɑː/
missbruk	/²m'ɪsːbrʉːk/
missbruka	/²m'ɪsːbrʉːka/
missbrukar	/²m'ɪsːbrʉːkar/
missbrukare	/²m'ɪsːbrʉːkarɛ/
missfall	/²m'ɪsːfalː/
missförhållande	/²m'ɪsːfœrhɔlːandɛ/
missförstå	/²m'ɪsːfœʂʈoːr/
missförstånd	/²m'ɪsːfœʂʈɔnːd/
missfoster	/²m'ɪsːfʊsːtɛr/
missgärning	/²m'ɪsːjɛːɳɪŋ/
missgrepp	/²m'ɪsːgrɛpː/
missgynna	/²m'ɪsːjʏnːa/
missgynnar	/²m'ɪsːjʏnːar/
misshandel	/²m'ɪsːhanːdɛl/
misshandla	/²m'ɪsːhanːdla/
misshandlar	/²m'ɪsːhanːdlar/
missil	/mɪs'iːl/
mission	/mɪɧ'uːn/
missköta	/²m'ɪsːɧøːtɛr/
missleda	/²m'ɪsːleːdɛr/
misslyckad	/²m'ɪsːlʏkːad/
misslyckande	/²m'ɪsːlʏkːandɛ/
misslyckas	/²m'ɪsːlʏkːas/
missminna sig	/²m'ɪsːmɪnːɛʂɛj/
miss	/mɪsː/
missmodig	/²m'ɪsːmuːdɪg/
missnöjd	/²m'ɪsːnœjːd/
missnöje	/²m'ɪsːnœjːɛ/
missöde	/²m'ɪsːøːdɛ/
missräkna sig	/²m'ɪsːrɛːknaʂɛj/
missriktad	/²m'ɪsːrɪkːtad/
misstag	/²m'ɪsːtɑːg/
misstänka	/²m'ɪsːtɛŋːkɛr/
misstanke	/²m'ɪsːtaŋːkɛ/
misstänksam	/²m'ɪsːtɛŋksamː/
misstänkt	/²m'ɪsːtɛŋːkt/
missta sig	/²m'ɪsːtɑːʂɛj/
misstro	/²m'ɪsːtruː/
misstro	/²m'ɪsːtruːr/
misstroende	/²m'ɪsːtruːɛndɛ/
misstroendeförklaring	/²m'ɪsːtruːɛndɛfœrklɑːrɪŋ/
misströsta	/²m'ɪsːtrœsːta/
misströstar	/²m'ɪsːtrœsːtar/
misstycka	/²m'ɪsːtʏkːɛr/
missunna	/²m'ɪsːɵnːa/
missunnar	/²m'ɪsːɵnːar/
missuppfatta	/²m'ɪsːɵpfatːa/
missuppfattar	/²m'ɪsːɵpfatːar/
missuppfattning	/²m'ɪsːɵpfatːnɪŋ/
missväxt	/²m'ɪsːvɛkːst/
missvisande	/²m'ɪsːviːsandɛ/
mista	/m'ɪsːtɛr/
mitella	/²mɪt'ɛlːa/
mittemot	/mɪtɛm'uːt/
mittenpartierna	/²m'ɪtːɛnpaʈiːɛɳa/
mitt	/mɪtː/
mixer	/m'ɪkːsɛr/
mix	/mɪkːs/
mjäll	/mjɛlː/
mjälte	/²mj'ɛlːtɛ/
mjölka	/²mj'œlːka/
mjölkar	/²mj'œlːkar/
mjölk	/mjœlːk/
mjölktand	/²mj'œlːktanːd/
mjöl	/mjøːl/
mjuka upp	/mjʉːkar'ɵpː/
mjuklanda	/²mj'ʉːklanːda/
mjuk	/mjʉːk/
mjukna	/²mj'ʉːkna/
mjuknar	/²mj'ʉːknar/
mjukvara	/²mj'ʉːkvɑːra/
m	/meːd/
mm	/meːdm'eːra/
mm	/mɪlɪm'eːtɛr/
m	/mʊdɛr'ɑːta ²s'amːlɪŋspaʈiːɛt/
mnkr	/mɪlj'uːnɛr ²kr'uːnʊr/
mobba	/²m'ɔbːa/
mobbar	/²m'ɔbːar/
mobb	/mɔbː/
möbel	/m'øːbɛl/
mobilisera	/mʊbɪlɪs'eːra/
mobiliserar	/mʊbɪlɪs'eːrar/
mobiltelefon	/²mʊb'iːltɛlɛfoːn/
möblemang	/mœblɛm'aŋː/
möblera	/mœbl'eːra/
möblerar	/mœbl'eːrar/
möblera om	/mœbleːrar'ɔmː/
mocka	/²m'ɔkːa/
mockar	/²m'ɔkːar/
möda	/²m'øːda/
modd	/mɔdː/
mode	/²m'uːdɛ/
modelejon	/²m'uːdɛleːjɔn/
modell	/mʊd'ɛlː/
modem	/mʊd'eːm/
moder	/²m'uːdɛr/
Moderata samlingspartiet	/mʊdɛr'ɑːta ²s'amːlɪŋspaʈiːɛt/
moderat	/mʊdɛr'ɑːt/
moderbolag	/²m'uːdɛrbuːlɑːg/
modernisera	/mʊdäɳɪs'eːra/
moderniserar	/mʊdäɳɪs'eːrar/
modern	/mʊd'ɛːɳ/
modersmål	/²m'uːdɛʂmoːl/
modersmålselev	/²m'uːdɛʂmoːl/
modersmålslärare	/²m'uːdɛʂmoːl/
modersmålsstöd	/²m'uːdɛʂmoːl/
modersmjölk	/²m'uːdɛʂmjœlːk/
modfälld	/²m'uːdfɛlːd/
modifiera	/mʊdɪfɪ'eːra/
modifierar	/mʊdɪfɪ'eːrar/
modifikation	/mʊdɪfɪkaɧ'uːn/
modig	/²m'uːdɪg/
mod	/muːd/
mödomshinna	/²m'øːdʊmshɪnːa/
mödosam	/²m'øːdʊsamː/
mödraundervisning	/²m'øːdraɵndɛrviːsnɪŋ/
mödravårdscentral	/²m'øːdravoːɖʂɛntrɑːl/
modul	/mʊd'ʉːl/
mögel	/m'øːgɛl/
mogen	/²m'uːgɛn/
mögla	/²m'øːgla/
möglar	/²m'øːglar/
möglig	/²m'øːglɪg/
mogna	/²m'uːgna/
mognar	/²m'uːgnar/
möhippa	/²m'øːhɪpːa/
mojäng	/mʊj'ɛŋː/
möjlig	/²m'œjːlɪg/
möjligen	/²m'œjːlɪgɛn/
möjliggöra	/²m'œjːlɪgjøːr/
möjlighet	/²m'œjːlɪgheːt/
möjligtvis	/²m'œjːlɪktviːs/, /²m'œjːlɪtviːs/
mojna	/²m'ɔjːna/
mojnar	/²m'ɔjːnar/
mola	/²m'uːla/
molar	/²m'uːlar/
molekyl	/mʊlɛk'yːl/
moll	/mɔlː/
moln	/moːln/
moloken	/²m'uːluːkɛn/
moment	/mʊm'ɛnːt/
mom	/mʊm'ɛnːt/
mö	/møː/
moms	/mɔmːs/
monarki	/mʊnark'iː/
monitor	/mɔnːɪtʊr/
monogami	/mʊnʊgam'iː/
monogram	/mʊnʊgr'amː/
monolog	/mʊnʊl'oːg/
mono-	/mʊnʊ/
monopol	/mʊnʊp'oːl/
monoton	/mʊnʊt'oːn/
mönstergill	/²m'œnːstɛrjɪlː/
monster	/m'ɔnːstɛr/
mönster	/m'œnːstɛr/
mönstra	/²m'œnːstra/
mönstrar	/²m'œnːstrar/
montage	/mɔnt'ɑːɧ/
montera	/mɔnt'eːra/
monterar	/mɔnt'eːrar/
monter	/m'ɔnːtɛr/
montör	/mɔnt'øːr/
monument	/mʊnɵm'ɛnːt/
mopedist	/mʊpɛd'ɪsːt/
moped	/mʊp'eːd/
mops	/mɔpːs/
moraklocka	/²m'uːraklɔkːa/
moralisera	/mʊralɪs'eːra/
moraliserar	/mʊralɪs'eːrar/
moralisk	/mʊr'ɑːlɪsk/
moralkaka	/²m'uːrɑːlkɑːka/
moral	/mʊr'ɑːl/
morbror	/²m'ʊrːbrʊr/
mörbultad	/²m'øːrbɵlːtad/
mörda	/²m'øːɖa/
mördar	/²m'øːɖar/
mördande	/²m'øːɖandɛ/
mördare	/²m'øːɖarɛ/
mördeg	/²m'øːɖeːg/
mord	/muːɖ/
morfar	/²m'ʊrːfar/
morfin	/mʊrf'iːn/
morföräldrar	/²m'uːrfœrɛlːdrar/
morgon	/²m'ɔrːgɔn/, /²m'ɔrːɔn/
morgondag	/²m'ɔrːgɔndɑːg/, /²m'ɔrːɔndɑːg/
morgonluft	/²m'ɔrːgɔnlɵfːt/, /²m'ɔrːɔnlɵfːt/
morgonsamling	/²m'ɔrːgɔnsamːlɪŋ/, /²m'ɔrːɔnsamːlɪŋ/
mörkblå	/²m'œrːkbloː/
mörker	/m'œrːkɛr/
mörkhyad	/²m'œrːkhyːad/
mörklägga	/²m'œrːklɛgːɛr/
mörk	/mœrːk/
mörkna	/²m'œrːkna/
mörknar	/²m'œrːknar/
mörkrädd	/²m'œrːkrɛdː/
mör	/møːr/
mormor	/²m'ʊrːmʊr/
mor	/muːr/
morot	/²m'uːruːt/
morötter	/²m'uːrœtːɛr/
morra	/²m'ɔrːa/
morrar	/²m'ɔrːar/
morsa	/²m'ʊʂːa/
morsealfabet	/²m'ɔʂːɛalfabeːt/
morsk	/mʊʂːk/
mors	/mɔʂː/
mortel	/²m'uːʈɛl/
mört	/mœʈː/
mosa	/²m'uːsa/
mosar	/²m'uːsar/
mosaik	/mʊsa'iːk/
mosaisk	/mʊs'ɑːɪsk/
moské	/mʊsk'eː/
mos	/muːs/
mossa	/²m'ɔsːa/
mössa	/²m'œsːa/
mosse	/²m'ɔsːɛ/
möss	/mœsː/
moster	/²m'ʊsːtɛr/
mota	/²m'uːta/
motar	/²m'uːtar/
möta	/m'øːtɛr/
motarbeta	/²m'uːtarbeːta/
motarbetar	/²m'uːtarbeːtar/
mötas	/møːts/
motåtgärd	/²m'uːtoːtjɛːɖ/
motbild	/²m'uːtbɪlːd/
motbjudande	/²m'uːtbjʉːdandɛ/
motbok	/²m'uːtbuːk/
möte	/²m'øːtɛ/
motell	/mʊt'ɛlː/
motgång	/²m'uːtgɔŋː/
motgift	/²m'uːtjɪfːt/
motion	/mʊtɧ'uːn/
motivation	/mʊtɪvaɧ'uːn/
motiverad	/mʊtɪv'eːrad/
motivera	/mʊtɪv'eːra/
motiverar	/mʊtɪv'eːrar/
motiv	/mʊt'iːv/
mot	/muːt/
motor	/²m'uːtʊr/
motorcykel	/²m'uːtʊʂʏkːɛl/
motorförare	/²m'uːtʊrføːrarɛ/
motorfordon	/²m'uːtʊrfuːɖʊn/
motortrafikled	/²m'uːtʊʈrafiːkleːd/
motorväg	/²m'uːtʊrvɛːg/
motpart	/²m'uːtpɑːʈ/
motpol	/²m'uːtpuːl/
motsäga	/²m'uːtsɛːjɛr/
motsägande	/²m'uːtsɛːgandɛ/, /²m'uːtsɛjːgandɛ/
motsägelse	/²m'uːtsɛːgɛlsɛ/, /²m'uːtsɛjːgɛlsɛ/
motsats	/²m'uːtsatːs/
motsatt	/²m'uːtsatː/
motsätta sig	/²m'uːtsɛtːɛʂɛj/
motsättning	/²m'uːtsɛtːnɪŋ/
motsols	/²m'uːtsuːls/
motspänstig	/²m'uːtspɛnːstɪg/
motstå	/²m'uːtstoːr/
motstånd	/²m'uːtstɔnːd/
motståndare	/²m'uːtstɔnːdarɛ/
motståndskraft	/²m'uːtstɔndskrafːt/
motståndskraftig	/²m'uːtstɔndskrafːtɪg/
motsträvig	/²m'uːtstrɛːvɪg/
motstridig	/²m'uːtstriːdɪg/
motstycke	/²m'uːtstʏkːɛ/
motsvara	/²m'uːtsvɑːra/
motsvarar	/²m'uːtsvɑːrar/
motsvarande	/²m'uːtsvɑːrandɛ/
motsvarighet	/²m'uːtsvɑːrɪgheːt/
motta	/²m'uːtɑːr/
mottagande	/²m'uːtɑːgandɛ/
mottagare	/²m'uːtɑːgarɛ/
mottaglig	/²m'uːtɑːglɪg/
mottagning	/²m'uːtɑːgnɪŋ/
mottagningsbevis	/²m'uːtɑːgnɪŋsbɛviːs/
mott	/mɔtː/
motto	/²m'ɔtːʊ/
motvärn	/²m'uːtvɛːɳ/
motverka	/²m'uːtvärːka/
motverkar	/²m'uːtvärːkar/
motvikt	/²m'uːtvɪkːt/
motvilja	/²m'uːtvɪlːja/
motvillig	/²m'uːtvɪlːɪg/
motvilligt	/²m'uːtvɪlːɪkt/, /²m'uːtvɪlːɪt/
motvind	/²m'uːtvɪnːd/
mousse	/mʊsː/
MS	/²'ɛmːɛsː/
msk	/²m'ɑːtɧeːd/
mucka	/²m'ɵkːa/
muckar	/²m'ɵkːar/
muddra	/²m'ɵdːra/
muddrar	/²m'ɵdːrar/
muffin	/m'ɵfːɪn/
mugg	/mɵgː/
muhammedan	/mʊhamɛd'ɑːn/
mulatt	/mɵl'atː/
mule	/²m'ʉːlɛ/
mulen	/²m'ʉːlɛn/
mullig	/²m'ɵlːɪg/
mull	/mɵlː/
mullra	/²m'ɵlːra/
mullrar	/²m'ɵlːrar/
mullvad	/²m'ɵlːvɑːd/
mulna	/²m'ʉːlna/
mulnar	/²m'ʉːlnar/
multi-	/²m'ɵlːtɪ/, /mɵltɪ/
multilateral	/mɵltɪlatɛr'ɑːl/
multimedie-	/²mɵltɪm'eːdɪɛ/
multinationell	/mɵltɪnatɧʊn'ɛlː/
multipel skleros	/mɵlt'ɪpːɛl sklɛr'oːs/
multiple choice-	/m'alːtɪpɛl tɧ'ɔjːs/
multiplicera	/mɵltɪplɪs'eːra/
multiplicerar	/mɵltɪplɪs'eːrar/
multiplikation	/mɵltɪplɪkaɧ'uːn/
multna	/²m'ɵlːtna/
multnar	/²m'ɵlːtnar/
mumie	/²m'ɵmːɪɛ/
mumla	/²m'ɵmːla/
mumlar	/²m'ɵmːlar/
mummel	/m'ɵmːɛl/
mumsa	/²m'ɵmːsa/
mumsar	/²m'ɵmːsar/
mums	/mɵmːs/
mundering	/mɵnd'eːrɪŋ/
mungiga	/²m'ɵnːjiːga/
mungipa	/²m'ɵnːjiːpa/
munhuggas	/²m'ɵnːhɵgːs/
munkavle	/²m'ɵnːkɑːvlɛ/
munk	/mɵŋːk/
munkorg	/²m'ɵnːkɔrːj/
mun-mot-mun-metoden	/²mɵnmuːtm'ɵnːmɛtuːdɛn/
mun	/mɵnː/
munsbit	/²m'ɵnːsbiːt/
munskydd	/²m'ɵnːɧʏdː/
munspel	/²m'ɵnːspeːl/
munstycke	/²m'ɵnːstʏkːɛ/
muntergök	/²m'ɵnːtɛrjøːk/
munterhet	/²m'ɵnːtɛrheːt/
munter	/m'ɵnːtɛr/
muntlig	/²m'ɵnːtlɪg/
muntra upp	/mɵntrar'ɵpː/
mura	/²m'ʉːra/
murar	/²m'ʉːrar/
murare	/²m'ʉːrarɛ/
murbruk	/²m'ʉːrbrʉːk/
murgröna	/²m'ʉːrgrøːna/
murken	/²m'ɵrːkɛn/
murkla	/²m'ɵrːkla/
mur	/mʉːr/
murvel	/²m'ɵrːvɛl/
museum	/²mɵs'eːɵm/
musikalisk	/mɵsɪk'ɑːlɪsk/
musikal	/mɵsɪk'ɑːl/
musikant	/mɵsɪk'anːt/
musikdirektör	/²mɵs'iːkdɪrɛktøːr/
musiker	/m'ʉːsɪkɛr/
musik	/mɵs'iːk/
muskel	/m'ɵsːkɛl/
muskulatur	/mɵskɵlat'ʉːr/
muskulös	/mɵskɵl'øːs/
muslim	/mɵsl'iːm/
mus	/mʉːs/
mussla	/²m'ɵsːla/
mustasch	/mɵst'ɑːɧ/
mustig	/²m'ɵsːtɪg/
must	/mɵsːt/
muta	/²m'ʉːta/
mutar	/²m'ʉːtar/
mutkolv	/²m'ʉːtkɔlːv/
mutter	/m'ɵtːɛr/
muttra	/²m'ɵtːra/
muttrar	/²m'ɵtːrar/
mycket	/²m'ʏkːɛt/, /²m'ʏkːɛ/
mygel	/m'yːgɛl/
mygga	/²m'ʏgːa/
mygg	/mʏgː/
mygla	/²m'yːgla/
myglar	/²m'yːglar/
mylla	/²m'ʏlːa/
myller	/m'ʏlːɛr/
myllra	/²m'ʏlːra/
myllrar	/²m'ʏlːrar/
myndig	/²m'ʏnːdɪg/
myndighet	/²m'ʏnːdɪgheːt/
mynna	/²m'ʏnːa/
mynnar	/²m'ʏnːar/
mynning	/²m'ʏnːɪŋ/
mynta	/²m'ʏnːta/
myntar	/²m'ʏnːtar/
mynt	/mʏnːt/
myra	/²m'yːra/
myr	/myːr/
mysa	/m'yːsɛr/
mysig	/²m'yːsɪg/
mysli	/m'ʏsːlɪ/
mysterium	/mʏst'eːrɪɵm/
mystisk	/m'ʏsːtɪsk/
myteri	/mʏtɛr'iː/
myt	/myːt/
mytologi	/mʏtʊlʊg'iː/
näbb	/nɛbː/
nacka	/²n'akːa/
nackar	/²n'akːar/
nackdel	/²n'akːdeːl/
nacke	/²n'akːɛ/
näck	/nɛkː/
näckros	/²n'ɛkːruːs/
nackspärr	/²n'akːspärː/
nådastöt	/²n'oːdastøːt/
nådde	/²n'ɔdːɛ/
nådig	/²n'oːdɪg/
nådig	/n'oːdɪg/
nåd	/noːd/
nafsa	/²n'afːsa/
nafsar	/²n'afːsar/
nagelfara	/²n'ɑːgɛlfɑːr/
nagel	/n'ɑːgɛl/
nagga	/²n'agːa/
naggar	/²n'agːar/
någon	/²n'oːgɔn/
någonsin	/²n'oːgɔnsɪnː/, /²n'ɔnːsɪnː/
någonstans	/²n'oːgɔnstanːs/, /nɔnst'anːs/
någonting	/²n'oːgɔntɪŋː/, /²nɔnt'ɪŋː/
någorlunda	/²n'oːgʊɭɵnːda/
något	/²n'oːgɔt/
några	/²n'oːgra/
naiv	/na'iːv/
naken	/²n'ɑːkɛn/
näktergal	/²n'ɛkːtɛrgɑːl/
nalkas	/²n'alːkas/
nalla	/²n'alːa/
nallar	/²n'alːar/
nalle	/²n'alːɛ/
nål	/noːl/
nålsöga	/²n'oːlsøːga/
nämen	/nɛmːɛn/
nämligen	/²n'ɛmːlɪgɛn/
namna	/²n'amːna/
namnar	/²n'amːnar/
nämna	/n'ɛmːnɛr/
nämnare	/²n'ɛmːnarɛ/
nämndeman	/²n'ɛmːdɛmanː/
nämnd	/nɛmːd/
namne	/²n'amːnɛ/
namninsamling	/²n'amːnɪnsamːlɪŋ/
namnkunnig	/²n'amːnkɵnːɪg/
namn	/namːn/
namnsdag	/n'amːnsdɑːg/, /n'amːnsda/
namnteckning	/²n'amːntɛkːnɪŋ/
nämnvärd	/²n'ɛmːnvɛːɖ/
nå	/noː/
nä	/nɛː/
nå	/noːr/
nån	/nɔnː/
nånsin	/²n'ɔnːsɪn/
nånstans	/nɔnst'anːs/
nånting	/nɔnt'ɪŋː/
napalm	/nap'alːm/
näpen	/²n'ɛːpɛn/
nappa	/²n'apːa/
nappar	/²n'apːar/
napp	/napː/
när-	/²n'ɛːr/
nära	/²n'ɛːra/
nära	/nɛːr/
närande	/²n'ɛːrandɛ/
närapå	/²n'ɛːrapoː/
närbild	/²n'ɛːrbɪlːd/
närgången	/²n'ɛːrgɔŋːɛn/
närhet	/²n'ɛːrheːt/
narig	/²n'ɑːrɪg/
näring	/²n'ɛːrɪŋ/
näringshjälp	/²n'ɛːrɪŋsjɛlːp/
näringsliv	/²n'ɛːrɪŋsliːv/
näringstillstånd	/²n'ɛːrɪŋstɪlstɔnːd/
Närke	/n'ɛrːkɛ/
narkomani	/narkʊman'iː/
narkoman	/narkʊm'ɑːn/
narkos	/nark'oːs/
narkotika	/nark'oːtɪka/
närmare	/²n'ɛrːmarɛ/
närma sig	/²n'ɛrːmaʂɛj/
närmast	/²n'ɛrːmast/
när	/nɛːr/
narr	/narː/
närstående	/²n'ɛːʂʈoːɛndɛ/
närsynt	/²n'ɛːʂyːnt/
närvara	/²n'ɛːrvɑːra/
närvarande	/²n'ɛːrvɑːrandɛ/
närvaro	/²n'ɛːrvɑːrʊ/
näsa	/²n'ɛːsa/
nasal	/nas'ɑːl/
näsborre	/²n'ɛːsbɔrːɛ/
näsbränna	/²n'ɛːsbrɛnːa/
näsduk	/²n'ɛːsdʉːk/
näs	/nɛːs/
nasse	/²n'asːɛ/
nässla	/²n'ɛsːla/
nästa	/²n'ɛsːta/
nästan	/²n'ɛsːtan/
näste	/²n'ɛsːtɛ/
nästla sig in	/nɛsːtlaʂɛj'ɪnː/
näst	/nɛsːt/
näsvis	/²n'ɛːsviːs/
nätansluten	/²n'ɛːtanslʉːtɛn/
näthandel	/²n'ɛːthanːdɛl/
näthinna	/²n'ɛːthɪnːa/
national-	/²natɧʊn'ɑːl/
nationalförsamling	/²natːɧʊn'ɑːlfœʂamːlɪŋ/
nationalisera	/natɧʊnalɪs'eːra/
nationaliserar	/natɧʊnalɪs'eːrar/
nationalism	/natɧʊnal'ɪsːm/
nationalist	/natɧʊnal'ɪsːt/
nationalitet	/natɧʊnalɪt'eːt/
nationalpark	/²natɧʊn'ɑːlparːk/
nationalsång	/²natɧɪʊn'ɑːlsɔŋː/
nationell	/natɧʊn'ɛlː/
nation	/natɧ'uːn/
nativitet	/natɪvɪt'eːt/
nät	/nɛːt/
NATO	/n'ɑːtʊ/
natta	/²n'atːa/
nattar	/²n'atːar/
nattduksbord	/²n'atːʉːksbuːɖ/
nätter	/n'ɛtːɛr/
nattetid	/²n'atːɛtiːd/
nattklubb	/²n'atːklɵbː/
nattlig	/²n'atːlɪg/
nattlinne	/²n'atːlɪnːɛ/
nattmangling	/²n'atːmaŋːlɪŋ/
nattmössa	/²n'atːmœsːa/
natt	/natː/
nått	/nɔtː/
nätt	/nɛtː/
nattskjorta	/²n'atːɧ'uːʈa/, /²n'atːɧʊʈːa/
nattvard	/²n'atːvɑːɖ/
naturaförmån	/²nat'ʉːraføːrmoːn/
naturalisation	/natɵralɪsaɧ'uːn/
naturbarn	/²nat'ʉːrbɑːɳ/
naturbehov	/²nat'ʉːrbɛhuːv/
naturell	/natɵr'ɛlː/
naturkatastrof	/²nat'ʉːrkatastroːf/
naturkunskap	/²nat'ʉːrkɵnskɑːp/
naturlig	/nat'ʉːɭɪg/
naturligtvis	/nat'ʉːɭɪktviːs/, /nat'ʉːɭɪtviːs/
naturmedel	/²nat'ʉːrmeːdɛl/
natur	/nat'ʉːr/
naturvård	/²nat'ʉːrvoːɖ/
naturvårdsområde	/²nat'ʉːrvoːɖʂɔmroːdɛ/
Naturvårdsverket	/²nat'ʉːrvoːɖʂvärːkɛt/
naturvetenskap	/²nat'ʉːrveːtɛnskɑːp/
nätverk	/²n'ɛːtvärːk/
nätvett	/²n'ɛːtvɛtː/, /²n'ɛːtɛtiːkɛtː/
nåväl	/nɔv'ɛːl/
näve	/²n'ɛːvɛ/
navel	/²n'ɑːvɛl/
navelskådare	/²n'ɑːvɛlskoːdarɛ/
navelsträng	/²n'ɑːvɛlstrɛŋː/
navigatör	/navɪgat'øːr/
navigera	/navɪg'eːra/
navigerar	/navɪg'eːrar/
nav	/nɑːv/
nazism	/nas'ɪsːm/
nazist	/nas'ɪsːt/
necessär	/nɛsɛs'ɛːr/
nedan	/²n'eːdan/
nedanför	/²n'eːdanføːr/
nedärvd	/²n'eːdärːvd/
nedåt	/n'eːdɔt/
nedbantad	/²n'eːdbanːtad/
nedblodad	/²n'eːdbluːdad/
nedbruten	/²n'eːdbrʉːtɛn/
nederbörd	/²n'eːdɛrbøːɖ/
nederlag	/²n'eːdɛɭɑːg/
nederländsk	/²n'eːdɛɭɛnːdsk/, /²n'eːdɛɭɛnːsk/
nederst	/n'eːdɛʂʈ/
nedfall	/²n'eːdfalː/
nedför	/n'eːdføːr/
nedgång	/²n'eːdgɔŋː/
nedgången	/²n'eːdgɔŋːɛn/
nedgörande	/²n'eːdgøːrandɛ/
nedkomst	/²n'eːdkɔmːst/
nedlägger	/²n'eːdlɛgːɛr/
nedläggning	/²n'eːdlɛgːnɪŋ/
nedlåtande	/²n'eːdloːtandɛ/
nedlåta sig	/²n'eːdloːtɛʂɛj/
ned	/neːd/
nedräkning	/²n'eːdrɛːknɪŋ/
nedre	/n'eːdrɛ/
nedrig	/n'eːdrɪg/
nedringd	/²n'eːdrɪŋːd/
nedrustning	/²n'eːdrɵsːtnɪŋ/
nedsatt	/²n'eːdsatː/
nedsättande	/²n'eːdsɛtːandɛ/
nedskrivning	/²n'eːdskrɪvːnɪng/
nedslående	/²n'eːdsloːɛndɛ/
nedslag	/²n'eːdslɑːg/
nedslagen	/²n'eːdslɑːgɛn/
nedsmutsad	/²n'eːdsmɵtːsad/
nedstämd	/²n'eːdstɛmːd/
nedstoppad	/²n'eːdstɔpːad/
nedtill	/²n'eːdtɪlː/
nedtrappning	/²n'eːdtrapːnɪŋ/
negation	/nɛgaɧ'uːn/
negativ	/n'ɛgːatiːv/
negativ	/nɛgat'iːv/
negligera	/nɛglɪɧ'eːra/
negligerar	/nɛglɪɧ'eːrar/
neg	/neːg/
nejd	/nɛjːd/
nejlika	/²n'ɛjːlɪka/
nej	/nɛjː/
neka	/²n'eːka/
nekar	/²n'eːkar/
nektarin	/nɛktar'iːn/
neonljus	/²nɛ'oːnjʉːs/
nere	/²n'eːrɛ/
nerför	/n'eːrføːr/
ner	/neːr/
nervkittlande	/²n'ɛrːvɕɪtːlandɛ/
nerv	/närːv/
nervositet	/närvʊsɪt'eːt/
nervös	/närv'øːs/
netto	/²n'ɛtːʊ/
neuro-	/²n'ɛvːrʊ/
neuros	/nɛvr'oːs/
neurotisk	/nɛvr'oːtɪsk/
neutralitet	/nɛɵtralɪt'eːt/
neutral	/nɛɵtr'ɑːl/
neutronbomb	/²nɛɵtr'oːnbɔmːb/
neutrum	/n'eːɵtrɵm/
nia	/²n'iːa/
niar	/²n'iːar/
nicka	/²n'ɪkːa/
nickar	/²n'ɪkːar/
nick	/nɪkː/
nidbild	/²n'iːdbɪlːd/
nidingsdåd	/²nɪd'ɪŋːsdoːd/
niga	/n'iːgɛr/
nikotin	/nɪkʊt'iːn/
ni	/niː/
nio	/²n'iːʊ/
niondel	/²n'iːɔndeːl/
nisch	/nɪɧː/
nisse	/²n'ɪsːɛ/
nitisk	/n'iːtɪsk/
nitning	/²n'iːtnɪŋ/
nit	/niːt/
nittio	/²n'ɪtːɪʊ/, /²n'ɪtːɪ/
nitton	/²n'ɪtːɔn/
nivå	/nɪv'oː/
nix	/nɪkːs/
njure	/²nj'ʉːrɛ/
njuta	/nj'ʉːtɛr/
njutning	/²nj'ʉːtnɪŋ/
nobba	/²n'ɔbːa/
nobbar	/²n'ɔbːar/
nobelpris	/²nʊb'ɛlːpriːs/
nock	/nɔkː/
nödbroms	/²n'øːdbrɔmːs/
nödd	/nœdː/
nödfall	/²n'øːdfalː/
nödga	/²n'œdːga/
nödgar	/²n'œdːgar/
nödgas	/²n'œdːgas/
nödig	/²n'øːdɪg/
nödläge	/²n'øːdlɛːgɛ/
nödlanda	/²n'øːdlanːda/
nödlandar	/²n'øːdlanːdar/
nod	/nuːd/
nöd	/nøːd/
nödsakad	/²n'øːdsɑːkad/
nödsändare	/²n'øːdsɛnːdarɛ/
nödställd	/²n'øːdstɛlːd/
nödvändig	/²n'øːdvɛnːdɪg/
nödvändigtvis	/²n'øːdvɛnːdɪktviːs/, /²n'øːdvɛnːdɪtviːs/
noga	/²n'uːga/
noggrann	/²n'uːgranː/
nog	/nuːg/
nogräknad	/²n'uːgrɛːknad/
noja	/²n'ɔjːa/
nöja sig	/n'œjːɛʂɛj/
nöjd	/nœjːd/
nöje	/²n'œjːɛ/
nöjesfält	/²n'œjːɛsfɛlːt/
nöjesliv	/²n'œjːɛsliːv/
nöjeslysten	/²n'œjːɛslʏsːtɛn/
nojsa	/²n'ɔjːsa/
nojsar	/²n'ɔjːsar/
nojs	/nɔjːs/
nolla	/²n'ɔlːa/
noll	/nɔlː/
nollställd	/²n'ɔlːstɛlːd/
nolltaxera	/²n'ɔlːtakseːra/
nolltaxerar	/²n'ɔlːtakseːrar/
nomad	/nʊm'ɑːd/
nomenklatur	/nʊmɛnklat'ʉːr/
nominell	/nʊmɪn'ɛlː/
nominera	/nʊmɪn'eːra/
nominerar	/nʊmɪn'eːrar/
nonchalans	/nɔnɧal'anːs/, /nɔnɧal'aŋːs/
nonchalant	/nɔnɧal'anːt/, /nɔnɧal'aŋːt/
nonchalera	/nɔnɧal'eːra/
nonchalerar	/nɔnɧal'eːrar/
nonsens	/n'ɔnːsɛns/
nonstop	/nɔnst'ɔpː/
nöp	/nøːp/
nordan	/²n'uːɖan/
Norden	/n'uːɖɛn/
nordisk	/n'uːɖɪsk/
nordist	/nʊɖ'ɪsːt/
nordlig	/²n'uːɖɭɪg/
nord	/nuːɖ/
nordpolen	/²n'uːɖpuːlɛn/
normalisera	/nɔrmalɪs'eːra/
normaliserar	/nɔrmalɪs'eːrar/
