آی	/ɒːj/
دستگاه تناسلی	/dæstɡɒːhe tænɒːsoliː/
دستمال	/dæstmɒːl/
دستمال کشیدن	/dæstmɒːlkeʃiːdæn/
دست‌مزد	/dăstmozd/
دست نخورده	/dɒːst næxoɾde/
دست‌نویس	/dæstneviːs/
دست‌نویسی	/dæstneviːsiː/
دست‌نوشته	/dæstneveʃte/
دسته	/dæstæ/
دسته	/dæstæ/, /dæste/
دسته پزندگان	/dæsteje pæɾændeɡɒːn/
دست و پا	/dæst o pɒː/
دست و پا زدن	/dæstopɒːzædæn/
دست و پا کردن	/dæstopɒːkæɾdæn/
دستور	/dæstuːɾ/
دستور دادن	/dæstuːɾdɒːdæn/
دستور زبان	/dæstuːɾe zæbɒːn/
دستور گرفتن	/dæstuːɾɡeɾeftæn/
دسر	/deseɾ/
دیسک سخت	/diːske sæxt/
ییدیش	/jiːdiːʃ/
دیشب	/diːʃæb/
دشت	/dæʃt/
دشت زدن	/dæʃtzædæn/
دشمن	/doʃmæn/
دشمنی	/doʃmæniː/
دشنام	/doʃnɒːm/
دشنام دادن	/doʃnɒːmdɒːdæn/
دشوار	/doʃvɒːɾ/
دعا	/doʔɒː/
دعا کردن	/doʔɒː kæɾdæn/
دعا کردن	/doʔɒːkæɾdæn/
دعوا	/dæʔvɒː/
دعوا شدن	/dæʔvɒːʃodæn/
دعوا کردن	/dæʔvɒːkæɾdæn/
دعوت	/dæʔvæt/
دعوت داشتن	/dæʔvætdɒːʃtæn/
دعوت كردن	/dævæt kæɾdæn/
دعوت کردن	/dæʔvætkæɾdæn/
دفاع	/defɒːʔ/
دفاع کردن	/defɒːʔkæɾdæn/
دفتر	/dæftæɾ/
دفترچه	/dæftæɾt͡ʃe/
دفن	/dæfn/
دفن کردن	/dæfn kæɾdæn/
دفن کردن	/dæfnkæɾdæn/
دق	/deɢ/
دق آمدن	/deɢɒːmædæn/
دق آوردن	/deɢɒːvæɾdæn/
دقیق	/dæɢiːɢ/
دقیقه	/dæɢiːɢe/
دق کردن	/deɢkæɾdæn/
دكان نانوائی	/dokɒːn nɒːnevɒːʔiː/
یدک	/jædæk/
دکان	/dokkɒːn/
دکان	/dokɒːn/
دکان زدن	/dokkɒːnzædæn/
دیکتاتور	/diːktɒːtoɾ/
دیکتاتوری	/diːktɒːtuːɾiː/
دکتر	/doktoɾ/
دکتر داروساز	/doktoɾe dɒːɾuːsɒːz/
دکتر زایمان	/doktoɾe zɒːjemɒːn/
دکتر زنان	/doktoɾe zænɒːn/
دکتر کودکان	/doktoɾe kuːdækɒːn/
یدک کشیدن	/jædækkeʃiːdæn/
دکوراسیون	/dekoɾɒːsjon/
دیگ	/diːɡ/
دیگ	/dîɡ/
دیگ به دیگ می‌گه روت سیاه	/diːɡ be diːɡ miːɡe ɾuːt siːjɒːh/
دیگر	/diːɡæɾ/
دگربار	/deɡæɾbɒːɾ/
دگرجنس‌گرایی	/deɡæɾd͡ʒensɡæɾɒːjiː/
دگرگونی	/deɡæɾɡuːniː/
دگمه	/doɡmæ/, /doɡme/
دگمه	/doɡme/
دل	/del/
دلار	/dolɒːɾ/
دلارام	/delɒːɾɒːm/
دلبر	/delbæɾ/
دلپذیر	/delpæziːɾ/
دلداده	/deldɒːde/
دلدار	/deldɒːɾ/
دلدرد	/deldæɾd/
دلدرد زدن	/deldæɾdzædæn/
دلربا	/delɾobɒː/
دل سوختن	/del suːxtæn/
دلشوره	/delʃuːɾe/
دلشوره گرفتن	/delʃuːɾeɡeɾeftæn/
دلفریب	/delfæɾiːb/
دلفین	/dolfiːn/
دلکش	/delkæʃ/
دلنواز	/delnævɒːz/
دلو	/dæluː/
دم	/dæm/
دم	/dom/
دمار	/dæmɒːɾ/
دماغ	/dæmɒːɢ/
دماغ گرفتن	/dæmɒːɢɡeɾeftæn/
دمبل	/dæmbel/
دمبل زدن	/dæmbelzædæn/
دم‌جنبانک	/domd͡ʒombɒːnæk/
دم زدن	/dæmzædæn/
دمشق	/demeʃɢ/
دم گرفتن	/dæmɡeɾeftæn/
دموکراتیک	/demokɾɒːtiːk/
دموکراسی	/demuːkɾɒːsiː/
دین	/diːn/
دنیا	/donjɒː/
دنیا آمدن	/donjɒːɒːmædæn/
دنیا آوردن	/donjɒːɒːvæɾdæn/
دنبال	/donbɒːl/
دنبال کردن	/donbɒːl kæɾdæn/
دنبال کردن	/donbɒːlkæɾdæn/
دنبال گشتن	/donbɒːl ɡæʃtæn/
دنبال گشتن	/donbɒːlɡæʃtæn/
دندان	/dændɒːn/
دندان‌پزشک	/dændɒːnpezeʃk/
دندان پزشکی	/dændɒːn pezeʃkiː/
دندان زدن	/dændɒːnzædæn/
دندانساز	/dændɒːnsɒːz/
دنده	/dænde/
دنگ	/donɡ/
ده	/dæh/
ده	/de/
دهان	/dæhɒːn/
دهانی	/dæhɒːniː/
دهانه	/dæhɒːne/
دهدهی	/dæhdæhiː/
دهلی	/dehliː/
دهلی نو	/dehliː nouː/
دهم	/dæhom/
دهن	/dæhæn/
دهن / دهان	/dæhæn/
دهن / دهان خوردن	/dæhænxoɾdæn/
دهن / دهان زدن	/dæhænzædæn/
دهه	/dæhe/
دو	/do/
دوات	/dævɒːt/
دیوار	/diːvɒːɾ/
دوازده	/dævɒːzdæh/
دیوان	/diːvɒːn/
دیوانگی	/diːvɒːneɡiː/
دیوانگی زدن	/diːvɒːneɡiːzædæn/
دیوانه	/diːvɒːne/
دوباره!	/dobɒːɾe/
دوباره	/dobɒːɾe/
دوبالان	/dobɒːlɒːn/
دوپیکر	/dopejkæɾ/
دوجین	/dod͡ʒiːn/
دوجنسه	/dod͡ʒense/
دوچرخه	/dot͡ʃæɾxe/
دوچرخه‌سوار	/dot͡ʃæɾxesævɒːɾ/
دوحه	/duːhe/
دوختن	/duːxtæn/
دود	/duːd/
دود زدن	/duːdzædæn/
دود کردن	/duːdkæɾdæn/
دودمانه	/duːdmɒːne/
دویدن	/dæviːdæn/
دودویی	/dodojiː/
دودوئی	/dodoiː/
دور	/doʊɾ/
دور	/douːɾ/
دور	/duːɾ/
دوریان	/duːɾiːɒːn/
دور انداختن	/duːɾ ændɒːxtæn/
دوران طلایی	/doɾɒːn tælæʔeiː/
دوربین	/duːɾbiːn/
دوربین دیجیتال	/duːɾbiːne diːd͡ʒiːtɒːl/
دور زدن	/doʊɾ zædæn/
دور زدن	/doʊɾzædæn/
دور گرفتن	/doʊɾɡeɾeftæn/
دورنگار	/doɾneɡɒːɾ/
دورنگاریدن	/duːɾneɡɒːɾiːdæn/
دوره	/doɾæ/, /doɾe/
دوره	/doɾe/
دوره	/douːɾe/
دورواژ	/duːɾvɒːʒ/
دورواژیدن	/duːɾvɒːʒiːdæn/
دو زار	/do zɒːɾ/
دو زار و ده شاهی	/do zɒːɾ o dæh ʃɒːhiː/
دوزخ	/duːzæx/
دو زدن	/dozædæn/
دو زن داری	/dô zæn dɒːɾiː/
دویست	/deviːst/
دوست	/duːst/
دوستی	/duːstiː/
دوست‌پسر	/duːstpesæɾ/
دوستدار	/duːstdɒːɾ/
دوست داشتن	/duːst dɒːʃtæn/
دوست داشتن	/duːstdɒːʃtæn/
دوست‌دختر	/duːstdoxtæɾ/
دوستی کردن	/duːstiː kæɾdæn/
دوست مکاتبه‌ای	/doste mokɒːtebeɒːjiː/
دوسره	/dosæɾe/
دوش	/duːʃ/
دوشیدن	/duːʃiːdæn/
دوشیزه	/douːʃiːze/
دوشیزه	/duːʃiːze/
دوشس	/duːʃes/
دوش گرفتن	/duːʃ ɡeɾeftæn/
دوشنبه	/doʃæmbe/
دوشنبه	/doʃænbe/
دوک	/duːk/
دولت	/doʊlæt/
دولت	/douːlæt/
دولت اسرائیل	/douːlæte esɾɒːʔiːl/
دوم	/dovvom/
دوناگری	/devænɒːɡæɾiː/
دون ژوان	/don ʒovɒːn/
دونقطه	/donoɢte/
دينار	/diːnɒːɾ/
ديوانه	/diːvɒːne/
ذات	/zɒːt/
ذرت	/dhoɾæt/
ذرت	/zoɾɾæt/
ذره‌بین	/zæɾɾebiːn/
ذهن	/zehn/
ذهنیت	/zehniːjjæt/
ذوق	/zoʊɢ/
ذوق زدن	/zoʊɢzædæn/
رأی	/ɾɒːʔiː/
رایانامه	/ɾɒːjɒːnɒːme/
رایانه	/ɾɒːjɒːne/
رابین‌هود	/ɾɒːbjnhuːd/
رایج	/ɾɒːjed͡ʒ/
راجا	/ɾɒːd͡ʒɒː/
راجع به	/ɾɒːd͡ʒeʔ be/
راحت	/ɾɒːhæt/
راحت‌الحلقوم	/ɾɒːhætelholɢuːm/
راد	/ɾɒːd/
رادیو	/ɾɒːdiːo/
رادون	/ɾɒːdon/
راديوم	/ɾɒːdiːjuːm/
راز	/ɾɒːz/
رازآميز	/ɾɒːzɒːmiːz/
راست	/ɾɒːst/
راست‌گرا	/ɾɒːstɡæɾɒː/
راش	/ɾɒːʃ/
ریاضی	/ɾiːjɒːziː/
رافائل	/ɾɒːfɒːʔel/
راک اند رول	/ɾɒːk ɒːnd ɾol/
رآکتور هسته‌ای	/ɾeɒːktoɾe hæsteʔiː/
رایگان	/ɾɒːjɡɒːn/
راگبی	/ɾɒːɡbiː/
ریال	/ɾiːɒːl/
رامی	/ɾɒːmiː/
رامی زدن	/ɾɒːmiːzædæn/
رامن	/ɾɒːmen/
رامنی	/ɾɒːmniː/
ران	/ɾɒːn/
راندن	/ɾɒːndæn/
راننده	/ɾɒːnænde/
راه	/ɾɒːh/
راه ابریشم	/ɾɒːhe æbɾiːʃæm/
راه افتادن	/ɾɒːhoftɒːdæn/
راه یافتن	/ɾɒːhjɒːftæn/
راه انداختن	/ɾɒːhændɒːxtæn/
راه‌آهن	/ɾɒːh ɒːhæn/
راهب	/ɾɒːheb/
راهبرد	/ɾɒːhboɾd/
راه رسیدن	/ɾɒːhɾesiːdæn/
راهرو	/ɾɒːhɾo/
راه شاهی	/ɾɒːhe ʃɒːhiː/
راه شیری	/ɾɒːhe ʃiːɾiː/
راولپندی	/ɾɒːvɒːlpendiː/
ربع	/ɾobʔ/
ربه‌کا	/ɾebekɒː/
رتیل	/ɾotejl/
ریتم	/ɾiːtm/
رجم	/ɾæd͡ʒm/
ریچارد	/ɾiːt͡ʃɒːɾd/
رحم	/ɾæhem/
رحم	/ɾæhm/
رحم آمدن	/ɾæhmɒːmædæn/
رحم آوردن	/ɾæhmɒːvæɾdæn/
رحمت	/ɾæhmæt/
رحمت آوردن	/ɾæhmætɒːvæɾdæn/
رحمت کردن	/ɾæhmætkæɾdæn/
رحم کردن	/ɾæhmkæɾdæn/
رحم گرفتن	/ɾæhmɡeɾeftæn/
رخ	/ɾox/
رختخواب	/ɾæxtexɒːb/
ریختن	/ɾiːxtæn/
رخسار	/ɾoxsɒːɾ/
رد	/ɾæd/
رد شدن	/ɾædʃodæn/
رد کردن	/ɾædkæɾdæn/
ریدن	/ɾiːdæn/
رده بندی	/ɾæde bændiː/
رده‌بندی	/ɾædebændiː/
رد و بدل	/ɾæd o bædæl/
رد و بدل شدن	/ɾædobædælʃodæn/
رد و بدل کردن	/ɾædobædælkæɾdæn/
ریز	/ɾiːz/
ریزبین	/ɾiːzbiːn/
رزیدن	/ɾæziːdæn/
رزرو کردن	/ɾezeɾv kæɾdæn/
رژ لب	/ɾoʒe læb/
رژیم	/ɾeʒiːm/
رساندن	/ɾesɒːndæn/
رسانه	/ɾesɒːne/, /ɾæsɒːne/
رسانه گروهی	/ɾæsɒːneʔ je ɡoɾuːhiːʔ/, /ɾesɒːneʔ je ɡoɾuːhiːʔ/
رسانه‌های گروهی	/ɾæsɒːnehɒːje ɡoɾuːhiː/
رستاخیز	/ɾæstɒːxiːz/
رستاخیز شدن	/ɾæstɒːxiːz ŝodæn/
رستگاری	/ɾæstɡɒːɾiː/
رستوران	/ɾestoɾɒːn/
رسیدگی	/ɾesiːdeɡiː/
رسیدگی کردن	/ɾesiːdeɡiːkæɾdæn/
رسیدن	/ɾæsiːdæn/, /ɾesiːdæn/
رسیدن	/ɾesiːdæn/
رسیدن	/ræsiːdæːn/
رسم	/ɾæsm/
رسم کردن	/ɾæsmkæɾdæn/
ریش	/ɾiːʃ/
رشته	/ɾeʃte/
ریش زدن	/ɾiːʃzædæn/
رشک	/ɾæʃk/
رشک ورزیدن	/ɾæʃk væɾziːdæn/
ریشه	/ɾiːʃæ/
ریشه	/ɾiːʃe/
ریشه زدن	/ɾiːʃezædæn/
ریشه‌شناسی	/ɾiːʃeʃenɒːsiː/
رضایت	/ɾezɒːjæt/
رضایت دادن	/ɾezɒːjætdɒːdæn/
رعد	/ɾæʔd/
رعد زدن	/ɾæʔdzædæn/
رغبت	/ɾeɢbæt/
رغبت کردن	/ɾeɢbætkæɾdæn/
رف	/ɾæf/
رفتن	/ɾæftæn/
رفتن	/ɾoftæn/
رفیق	/ɾæfiːɢ/
رقاص	/ɾæɢɢɒːs/
رقّاص	/ɾæɢɢɒːs/
رقیب	/ɾæɢiːb/
رقص	/ɾæɢs/
رقص باله	/ɾæɢse bɒːle/
رقصیدن	/ɾæɢsiːdæn/
رقص عربی	/ɾæɢs ʔæɾæbiː/
رقص کردن	/ɾæɢs kæɾdæn/
رقم	/ɾæɢæm/
رکاب	/ɾekɒːb/
رکاب زدن	/ɾekɒːbzædæn/
رکسانه	/ɾoksɒːne/
رکيک	/ɾækiːk/
رگ	/ɾæɡ/
ریگ	/ɾiːɡ/
رگ زدن	/ɾæɡzædæn/
رم	/ɾæm/
رم	/ɾom/
رمان	/ɾomɒːn/
رم دادن	/ɾæmdɒːdæn/
رمزگذاری	/ɾæmzɡozɒːɾiː/
رمزنگاری	/ɾæmzneɡɒːɾiː/
رمضان	/ɾæmæzɒːn/
رم کردن	/ɾæmkæɾdæn/
ریمل	/ɾiːmel/
ریمل زدن	/ɾiːmelzædæn/
رنج	/ɾænd͡ʒ/
رنج بردن	/ɾænd͡ʒboɾdæn/
رنج دادن	/ɾænd͡ʒdɒːdæn/
رنج کشیدن	/ɾænd͡ʒkeʃiːdæn/
رنده	/ɾænde/
رنسانس	/ɾonesɒːns/
رنگ	/ɾænɡ/
رنگارنگ	/ɾænɡɒːɾænɡ/
رنگ زیتونی	/ɾænɡ zæiːtuːniː/
رنگ زدن	/ɾænɡzædæn/
رنگ صورتی	/ɾænɡ suːɾætiː/
رنگ کردن	/ɾænɡ kæɾdæn/
رنگ کردن	/ɾænɡkæɾdæn/
رنگین	/ɾænɡiːn/
رنگین‌کمان	/ɾænɡiːnkæmɒːn/
ریه	/ɾiːje/
رها	/ɾæhɒː/
رها کردن	/ɾæhɒː kæɾdæn/
رهبر	/ɾæhbæɾ/
رهبر ارکستر	/ɾæhbæɾe oɾkestɾ/
رهبر جامعه اسلامی	/ɾæhbæɾe d͡ʒɒːmeʔeje eslæmiː/
روی	/ɾuːj/
روایت	/ɾævɒːjæt/
روایت شدن	/ɾævɒːjætʃodæn/
رواج	/ɾævɒːd͡ʒ/
رواج یافتن	/ɾævɒːd͡ʒjɒːftæn/
رواج دادن	/ɾævɒːd͡ʒdɒːdæn/
روادید	/ɾævɒːdiːd/
رویارویی	/ɾuːjɒːɾuːʔiː/
روان	/ɾævɒːn/
روان پزشک	/ɾævɒːnʔ pezeʃkʔ/
روان شناس	/ɾævɒːnʃenɒːs/
روان‌شناس	/ɾævɒːnʃenɒːs/
روان‌شناسی	/ɾævɒːnʃenɒːsiː/
روانکاو	/ɾævɒːnʔkɒːv/
روان‌نویس	/ɾævɒːnneviːs/
روايت	/ɾævɒːjæt/
روايت کردن	/ɾævɒːjætkæɾdæn/
روباه	/ɾuːbɒːh/
روبل	/ɾuːbl/
روبنده	/ɾuːbænde/
رو به راه	/ɾuː be ɾɒːh/
رو پوشانی	/ɾuː puːʃɒːniː/
روتیل	/ɾuːtiːl/
روح	/ɾuːh/
رود	/ɾuːd/
رودخانه	/ɾuːdxɒːne/
رودخونه	/ɾuːdxuːne/
رودست	/ɾuːdæst/
رودست خوردن	/ɾuːdæstxoɾdæn/
رودست زدن	/ɾuːdæstzædæn/
روده	/ɾuːde/
روز	/ɾuːz/
روزی از روزها	/ɾuːziː æz ɾuːzhɒː/
روزانه	/ɾuːzɒːne/
روز بخیر	/ɾuːz bexejɾ/
روز پیروزی	/ɾuːze piːɾuːziː/
روزی روزگاری	/ɾuːziː ɾuːzeɡɒːɾiː/
روز شکرگزاری	/ɾuːze ʃokɾɡozɒːɾiː/
روزنامه	/ɾuːznɒːme/
روزنامه‌نگار	/ɾuːznɒːmeneɡɒːɾ/
روزنامه‌نگاری	/ɾuːznɒːmeneɡɒːɾiː/
روزه	/ɾozæ/
روزه	/ɾuːze/
روزه گرفتن	/ɾuːze ɡeɾeftæn/
روس	/ɾuːs/
روسی	/ɾuːsiː/
روسپی‌خانه	/ɾuːspiːxɒːne/
روسپی‌گری	/ɾuːspiːɡæɾiː/
روستا	/ɾuːstɒː/
روستایی	/ɾuːstɒːʔiː/
روستایی	/ɾuːstɒːjiː/
روی سخته	/ɾuːj sæxte/
روسری	/ɾuːsæɾiː/
روسیه	/ɾuːsiːje/
روسیه سفید	/ɾuːsiːjeje sefiːd/
روش	/ɾæveʃ/
روش علمی	/ɾæveʃe elmiː/
روشن	/ɾoʊʃæn/
روشن	/ɾoʃæn/
روشن	/ɾoŝæn/
روشن	/ɾouːʃæn/
روشنا	/ɾoʊʃænɒː/
روشنک	/ɾoʊʃænæk/
روشن کردن	/ɾoʊʃæn kæɾdæn/
روشنگری	/ɾoʃænɡæɾiː/
روغن	/ɾoʊɢæn/
روغن	/ɾuːɢæn/
روغن زدن	/ɾoʊɢænzædæn/
رولت روسی	/ɾuːlet ɾuːsiː/
روم	/ɾuːm/
رومی	/ɾuːmiː/
رومانی	/ɾuːmɒːniː/
رومانیایی	/ɾuːmɒːniːjɒːjiː/
رومانیکا	/ɾuːmɒːniːkɒː/
رومنی	/ɾuːmniː/
روندن	/ɾuːndæn/
رونویسی	/ɾuːneviːsiː/
رونوشت	/ɾuːneveʃt/
رویه	/ɾuːjæ/
رئیس جمهور	/ɾæʔiːse d͡ʒomhuːɾ/
زیاد	/ziːjɒːd/
زیادروی	/ziːɒːdeɾæviː/
زیادروی کردن	/ziːɒːdeɾæviːkæɾdæn/
زادگاه	/zɒːdɡɒːh/
زاییدن	/zɒːjiːdæn/
زار	/zɒːɾ/
زاری	/zɒːɾiː/
زار زدن	/zɒːɾzædæn/
زاری کردن	/zɒːɾiːkæɾdæn/
زازاکی	/zɒːzɒːkiː/
زاغ	/zɒːɢ/
زاگرب	/zɒːɡɾeb/
زاگرس	/zɒːɡɾos/
زالتسبورگ	/zɒːlsbuːɾɡ/
زالو	/zɒːluː/
زیان	/ziːjɒːn/
زیانشانه‌شناسی	/ziːɒːneʃæneʃenɒːs/
زانو	/zɒːnuː/
زانو زدن	/zɒːnuː zædæn/
زائر	/zɒːʔeɾ/
زیبا	/ziːbɒː/
زبان	/zæbɒːn/
زبان آبخازی	/zæbɒːn ɒːbxɒːziː/
زبان آفریکانز	/zæbæne ɒːfɾiːkɒːnz/
زبان آفریکانس	/zæbɒːne ɒːfɾiːkɒːns/
زبان آمدن	/zæbɒːnɒːmædæn/
زبان انگلیسی	/zæbɒːne enɡeliːsiː/
زبان اودی	/zæbɒːn uːdiː/
زبان آوردن	/zæbɒːnɒːvæɾdæn/
زبان برمه‌ای	/zæbɒːne beɾmeʔɒːjiː/
زبان‌ برنامه‌نویسی	/zæbɒːne bæɾnɒːmeneviːsiː/
زبان بلوچی	/zæmɒːne bæluːt͡ʃiː/
زبان پالائی	/zæbɒːne pɒːlɒːʔiː/
زبان تاجیکی	/zæbɒːne tɒːd͡ʒiːkiː/
زبان تامیل	/zæbɒːne tɒːmiːl/
زبان چینی	/zæbɒːne t͡ʃiːniː/
زبان خارجی	/zæbɒːne xɒːɾed͡ʒiː/
زبان خمر	/zæbɒːne xæmeɾ/
زبان دیوهی	/zæbɒːn diːvehiː/
زبان روسی	/zæbɒːne ɾuːsiː/
زبان زدن	/zæbɒːnzædæn/
زبان ژاپنی	/zæbɒːne ʒɒːponiː/
زبان سانسکریت	/zæbɒːne sɒːnskɾiːt/
زبان‌شناس	/zæbɒːnʃenæs/
زبان‌شناسی	/zæbɒːnʃenɒːsiː/
زبان طبیعی	/zæmɒːne tæbiːʔiː/
زبان فارسی	/zæbɒːne fɒːɾsiː/
زبان قرقیزی	/zæbɒːne ɢiːɾɢiːziː/
زبان قزاقی	/zæbɒːne ɢæzɒːɢiː/
زبان کانارا	/zæbɒːn kænæɾæ/
زبان کشیدن	/zæbɒːnkeʃiːdæn/
زبان لاتین	/zæbɒːne lɒːtiːn/
زبان مادری	/zæbɒːne mɒːdæɾiː/
زبان ماشین	/zæbɒːne mæʃiːn/
زبان مالایی	/zæbɒːne mɒːlɒːjiː/
زبان میانجی	/zæbɒːne miːjɒːnd͡ʒiː/
زبانه	/zæbɒːne/
زبانه زدن	/zæbɒːnezædæn/
زبانه کشیدن	/zæbɒːnekeʃiːdæn/
زبر	/zæbæɾ/, /zebæɾ/
زبردستی	/zebæɾdæstiː/
زتا	/zetɒː/
زیتونی	/zejtuːniː/
زجر	/zæd͡ʒɾ/
زجر دادن	/zæd͡ʒɾdɒːdæn/
زجر کشیدن	/zæd͡ʒɾkeʃiːdæn/
زحل	/zohæl/
زحمت	/zæhmæt/
زحمت افتادن	/zæhmætoftɒːdæn/
زحمت کشیدن	/zæhmætkeʃiːdæn/
زخم	/zæxm/
زخمی	/zæxmiː/
زخم خوردن	/zæxmxoɾdæn/
زخم زبان	/zæxme zæbɒːn/
زخم زبان زدن	/zæxmezæbɒːnzædæn/
زخم زدن	/zæxmzædæn/
زخمه	/zæxme/
زید	/zejd/
یزدان	/jæzdɒːn/
زدن	/zædæn/
زدودن	/zoduːdæn/
زر	/zæɾ/
زر	/zeɾ/
زیر	/ziːɾ/
زیرا	/ziːɾɒː/
زیرآبی	/ziːɾɒːbiː/
زیرآبی زدن	/ziːɾɒːbiːzædæn/
زرافه	/zæɾɾɒːfe/
زرّافه	/zæɾɾɒːfe/
زیربغل	/ziːɾbæɢæl/
زیر پوشی زن	/ziːɾ puːʃiː zæn/
زرتشتی	/zæɾtoʃtiː/
زرد	/zæɾd/
زردآلو	/zæɾdɒːluː/
زردچوبه	/zæɾdt͡ʃuːbe/
زرد چوبه	/zæɾdt͡ʃuːbe/
زرد چوبه زدن	/zæɾdt͡ʃuːbezædæn/
زیردریایی	/ziːɾdæɾjɒːjiː/
زرد معتدل	/zæɾde moʔtædel/
زر زدن	/zeɾzædæn/
زیرزمین	/ziːɾzæmiːn/
زیر سیگاری	/ziːɾsiːɡɒːɾiː/
زیرشیروانی	/ziːɾeʃiːɾvɒːniː/
زرشک	/zeɾeʃk/
زرشکی	/zeɾeʃkiː/
زیرصفحه	/ziːɾsæfhe/
زیرک	/ziːɾæk/
زرین	/zæɾɾiːn/
زرین	/zæɾiːn/
زیره‌ی سیاه	/ziːɾeje siːjɒːh/
زیره‌ی سبز	/ziːɾeje sæbz/
زیست	/ziːst/
زیست‌شیمی	/ziːstʃiːmiː/
زیست‌شناسی	/ziːstʃenɒːsiː/
زیستن	/ziːstæn/
زشت	/zeʃt/
زعفران	/zæʔfeɾɒːn/
زعفرانی	/zæʔfeɾɒːniː/
زغن	/zæɢæn/
زق	/zeɢ/
زق زدن	/zeɢzædæn/
زکام	/zokɒːm/
زیگ	/ziːɡ/
زل	/zol/
زلاند جدید	/zelɒːnde d͡ʒædiːd/
زلاند نو	/zelɒːnde nouː/
زل زدن	/zolzædæn/
زلزله	/zelzele/
زلزله‌شناسی	/zelzeleʃenɒːsiː/
زلکوا	/zelkovɒː/
زمان	/zæmɒːn/
زمانی که	/zæmɒːniː ke/
زمرد	/zomoɾɾod/
زمردی	/zomoɾɾodiː/
زمزمه	/zemzeme/
زمزمه کردن	/zemzemekæɾdæn/
زمستان	/zemestɒːn/
زمین	/zæmiːn/
زمین خوردن	/zæmiːnxoɾdæn/
زمین زدن	/zæmiːnzædæn/
زمینی‌سازی	/zæmiːniːsɒːziː/
زمین‌شناسی	/zæmiːnʃenɒːsiː/
زمین‌شناسی	/zæmiːnʃiːnɒːsiː/
زمین‌لرزه	/zæmiːne læɾze/
زن	/zæn/
زنی	/zæniː/
زین	/ziːn/
زناشويي	/zænɒːʃuːeiː/
زنانگی	/zænɒːneɡiː/
زن‌بابا	/zænbɒːbɒː/
زنبق	/zæmbæɢ/
زنبور	/zænbuːɾ/
زنبور زدن	/zænbuːɾzædæn/
زنبور عسل	/zænbuːɾe ʔæsæl/
زنبور عسل	/zænbuːɾe æsæl/
زنبورک	/zænbuːɾæk/
زینت	/ziːnæt/
زینت دادن	/ziːnætdɒːdæn/
زنجبیل	/zænd͡ʒebiːl/
زنجیر	/zænd͡ʒiːɾ/
زنجیر زدن	/zænd͡ʒiːɾzædæn/
زنجیر کردن	/zænd͡ʒiːɾkæɾdæn/
زن‌دایی	/zændɒːjiː/
زن دادن	/zændɒːdæn/
زندانی	/zendɒːní/
زندانی کردن	/zendɒːniː kæɾdæn/
زندگی	/zendæɡiː/, /zendeɡiː/
زندگی	/zendeɡiː/
زندگی کردن	/zendeɡiː kæɾdæn/
زندگی کردن	/zendeɡiːkæɾdæn/
زنده	/zendæ/, /zende/
زن‌عمو	/zænæmuː/
زن کثیف	/zæn kæsîf/
زن کردن	/zænkæɾdæn/
زنگ	/zænɡ/
زنگی	/zænɡiː/
زنگبار	/zænɡebɒːɾ/
زنگ خوردن	/zænɡxoɾdæn/
زن گرفتن	/zænɡeɾeftæn/
زنی گرفتن	/zæniːɡeɾeftæn/
زنگ زدن	/zænɡ zædæn/
زنگ زدن	/zænɡzædæn/
زهر	/zæhɾ/
زهرخنده	/zæhɾxænde/
زهرشناسی	/zæhɾʃenɒːsiː/
زوال عقل	/zævɒːle ʔæɢl/
زود	/zuːd/
زور	/zoʊɾ/
زور	/zuːɾ/
زوزه	/zuːze/
زوزه زدن	/zuːzezædæn/
زوزه کشیدن	/zuːzekeʃiːdæn/
زئوس	/zeuːs/
ژاپن	/ʒɒːpon/
ژاپنی	/ʒɒːponiː/
ژاکت	/ʒɒːket/
ژاله	/ʒɒːle/
ژامبون	/ʒɒːmbon/
ژانر	/ʒɒːnɾ/
ژانویه	/ʒɒːnviːje/
ژاویدن	/ʒɒːviːdæn/
ژیرش	/ʒiːɾeʃ/
ژرف	/ʒæɾf/
ژله	/ʒele/
ژنرال	/ʒeneɾɒːl/
ژنو	/ʒenev/
ژنوم	/ʒenom/, /ʒenuːm/
ژوراسیک	/ʒuːɾɒːsiːk/
ژورنال	/ʒoɾnɒːl/
ژوکوف	/ʒuːkov/
ژیوه	/ʒiːve/
ژوئن	/ʒuːʔæn/
ژوئیه	/ʒuːʔiːje/
ژئودزی	/ʒeodeziː/
سی	/siː/
سیا	/siːjɒː/
سایت	/sɒːjt/
ساتراپ	/sɒːtɾɒːp/
سایت زدن	/sɒːjtzædæn/
سیاتل	/sejɒːtæl/
ساتور	/sɒːtuːɾ/
ساحره	/sɒːhæɾe/
ساحل	/sɒːhel/
ساختگی	/sɒːxteɡiː/
ساختمان	/sɒːxtemɒːn/
ساختمون	/sɒːxtemuːn/
ساختن	/sɒːxtæn/
سادگی	/sɒːdeɡiː/
سادگی زدن	/sɒːdeɡiːzædæn/
ساری	/sɒːɾiː/
سارا	/sɒːɾɒː/
سارایوو	/sɒːɾɒːjevo/
سیاره	/sejɒːɾe/
ساروج	/sɒːɾuːd͡ʒ/
ساز	/sɒːz/
سازدهنی	/sɒːzdæhæniː/
سازدهنی زدن	/sɒːzdæhæniːzædæn/
ساز زدن	/sɒːzzædæn/
سازش	/sɒːzeʃ/
سازمان	/sɒːzmɒːn/
