ก ข ไม่กระดิกหู	/mâj kràʔ dìk hǔː/
เชื้อเชิญ	/tɕʰɯ́ːa tɕʰɤːn/
เชื้อในระบบทางเดินปัสสาวะ	/tɕʰɯ́ːa naj ráʔ bòp tʰaːŋ dɤːn pàt sǎː wáʔ/
เชื้อแบ็คทีเรีย	/tɕʰɯ́ːa bɛ̀k tʰiː riːa/
เชื้อแบ็คทีเรียสังเคราะห์แสง	/tɕʰɯ́ːa bɛ̀k tʰiː riːa sǎŋ kʰrɔ́ʔ sɛ̌ːŋ/
เชื้อปะทุจุด	/tɕʰɯ́ːa pàʔ tʰúʔ tɕùt/
เชื้อเพลิง	/tɕʰɯ́ːa pʰlɤːŋ/
เชื้อเพลิงชีวภาพ	/tɕʰɯ́ːa pʰlɤːŋ tɕʰiː wá pʰâːp/
เชื้อไฟ	/tɕʰɯ́ːa faj/
เชื้อรา	/tɕʰɯ́ːa raː/
เชื้อโรค	/tɕʰɯ́ːa rôːk/
เชื้อไวรัส	/tɕʰɯ́ːa waj rát/
เชื้อไวรัสติดต่อจากคนสู่คน	/tɕʰɯ́ːa waj rát tìt tɔ̀ː tɕàːk kʰon sùː kʰon/
เชื้อสาย	/tɕʰɯ́ːa sǎːj/
เชื้อเอดส์	/tɕʰɯ́ːa ʔèːt/
เชือก	/tɕʰɯ̂ːak/
เชือกกล้วย	/tɕʰɯ̂ːak klûaj/
เชือกกั้นเวทีมวย	/tɕʰɯ̂ːak kân weː tʰiː muaj/
เชือกบาศ	/tɕʰɯ̂ːak bàːt/
เชือกผูกรองเท้า	/tɕʰɯ̂ːak pʰùːk rɔːŋ tʰáːw/
เชือกฟาง	/tɕʰɯ̂ːak faːŋ/
เชือกมะนิลา	/tɕʰɯ̂ːak máʔ níʔ laː/
เชือกเส้นเล็ก	/tɕʰɯ̂ːak sên lék/
เชื่อง	/tɕʰɯ̂ːaŋ/
เชื่องช้า	/tɕʰɯ̂ːaŋ tɕʰáː/
เชื่องแล้ว	/tɕʰɯ̂ːaŋ lɛ́ːw/
เชือด	/tɕʰɯ̂ːat/
เชือดไก่ให้ลิงดู	/tɕʰɯ̂ːat kàj hâj liŋ duː/
เชือดเฉือน	/tɕʰɯ̂ːat tɕʰɯ̌ːan/
เชือดเฉือน	/tɕʰɯ̂ːat tɕʰɯ̌ːan/
เชือดเฉือน	/tɕʰɯ̂ːat tɕʰɯ̌ːan/
เชื้อไทย	/tɕʰɯ́ːa tʰaj/
มัธยม	/mát tʰá jom/
มัธยมต้น	/mát tʰá jom tôn/
มัธยมตอนต้น	/mát tʰá jom tɔːn tôn/
มัธยมปลาย	/mát tʰá jom plaːj/
มัธยมศึกษา	/mát tʰá jom sɯ̀k sǎː/
มัธยะ	/mát tʰá jáʔ/
มัธยัสถ์	/mát tʰá ját/
มัธยัสถ์	/mát tʰá ját/
มัน	/man/
มันเขี้ยว	/man kʰîːaw/
มันจะ	/man tɕàʔ/
มันทอด	/man tʰɔ̂ːt/
มันเทศ	/man tʰêːt/
มันเนย	/man nɤːj/
ตัดพ้อ	/tàt pʰɔ́ː/
ตัน	/tan/
ตันกรอส	/tan krɔ̀ːt/
ตันตระ	/tan tràʔ/
ตับ	/tàp/
ตับแข็ง	/tàp kʰɛ̌ŋ/
ตับไตไส้พุง	/tàp taj sâj pʰuŋ/
ตับอ่อน	/tàp ʔɔ̀ːn/
ตับอักเสบ	/tàp ʔàk sèːp/
ตัว	/tuːa/
ตัวกระทำ	/tuːa kràʔ tʰam/
ตัวกระทำ	/tuːa kràʔ tʰam/
ตัวกระตุ้นเศรษฐกิจ	/tuːa kràʔ tûn sèːt tʰà kìt/
ตัวกลม	/tuːa klom/
ตัวกลั่น	/tuːa klàn/
ตัวการ	/tuːa kaːn/
ตัวการ	/tuːa kaːn/
ตัวการันต์	/tuːa kaː ran/
ตัวกำหนด	/tuːa kam nòt/
ตัวเก็ง	/tuːa keŋ/
ตัวเกร็ง	/tuːa kreŋ/
ตัวแก้ว	/tuːa kɛ̂ːw/
ตัวโกง	/tuːa koːŋ/
ตัวขี้เกียจ	/tuːa kʰîː kìːat/
ตัวขูด	/tuːa kʰùːt/
ตัวเขาเอง	/tuːa kʰǎw ʔeːŋ/
ตัวครั่ง	/tuːa kʰrâŋ/
ตัวคั่นเวลา	/tuːa kʰân weː laː/
ตัวคูณ	/tuːa kʰuːn/
ตัวใครตัวมัน	/tuːa kʰraj tuːa man/
ตัวเงิน	/tuːa ŋɤn/
ตัวเงินตัวทอง	/tuːa ŋɤn tuːa tʰɔːŋ/
ตัวเงินตัวทอง	/tuːa ŋɤn tuːa tʰɔːŋ/
ตัวจริง	/tuːa tɕiŋ/
ตัวจอภาพ	/tuːa tɕɔː pʰâːp/
ตัวโจร	/tuːa tɕoːn/
ตัวฉกาจ	/tuːa tɕʰà kàːt/
ตัวเฉพาะ	/tuːa tɕʰà pʰɔ́ʔ/
ตัวชี้วัด	/tuːa tɕʰíː wát/
ตัวชี้วัดทางเศรษฐกิจ	/tuːa tɕʰíː wát tʰaːŋ sèːt tʰà kìt/
ตัวชี้วัดที่เป็นผล	/tuːa tɕʰíː wát tʰîː pen pʰǒn/
ตัวชี้วัดที่เป็นเหตุ	/tuːa tɕʰíː wát tʰîː pen hèːt/
ตัวชี้วัดผลงาน	/tuːa tɕʰíː wát pʰǒn ŋaːn/
ตัวชี้วัดสำเร็จ	/tuːa tɕʰíː wát sǎm rèt/
ตัวชี้แหล่งในอินเทอร์เน็ต	/tuːa tɕʰíː lɛ̀ŋ naj ʔin tʰɤː nét/
ตัวชูโรง	/tuːa tɕʰuː roːŋ/
ตัวชูโรง	/tuːa tɕʰuː roːŋ/
ตัวเชิด	/tuːa tɕʰɤ̂ːt/
ตัวซวย	/tuːa suaj/
ยังไม่แน่	/jaŋ mâj nɛ̂ː/
ยังไม่บรรลุนิติภาวะ	/jaŋ mâj ban lúʔ níʔ tìʔ pʰaː wáʔ/
ยังไม่ปิด	/jaŋ mâj pìt/
ยังไม่เปิด	/jaŋ mâj pɤ̀ːt/
ยังไม่ไป	/jaŋ mâj paj/
ยังไม่พบ	/jaŋ mâj pʰóp/
ยังไม่พร้อม	/jaŋ mâj pʰrɔ́ːm/
ยังไม่พูด	/jaŋ mâj pʰûːt/
ยังไม่มา	/jaŋ mâj maː/
ยังไม่มี	/jaŋ mâj miː/
ยังไม่ยิ้ม	/jaŋ mâj jím/
ยังไม่ยืดเลย	/jaŋ mâj jɯ̂ːt lɤːj/
ยังไม่รัก	/jaŋ mâj rák/
ยังไม่ลุล่วง	/jaŋ mâj lúʔ lûːaŋ/
ยังไม่เล่น	/jaŋ mâj lên/
ยังไม่ว่า	/jaŋ mâj wâː/
ยังไม่วิ่ง	/jaŋ mâj wîŋ/
ยังไม่สมบูรณ์	/jaŋ mâj sǒm buːn/
ยังไม่เสร็จ	/jaŋ mâj sèt/
ยังไม่หมด	/jaŋ mâj mòt/
ยังไม่เห็น	/jaŋ mâj hěn/
ยังไม่ให้	/jaŋ mâj hâj/
ยังไม่อ่าน	/jaŋ mâj ʔàːn/
ยังยิ้ม	/jaŋ jím/
ยังเยาว์วัย	/jaŋ jaw waj/
ยังรัก	/jaŋ rák/
ยังรู้	/jaŋ rúː/
ยังเล่น	/jaŋ lên/
ยังว่า	/jaŋ wâː/
ยังวิ่ง	/jaŋ wîŋ/
ยังให้	/jaŋ hâj/
ยังอยากเข้าไปดู	/jaŋ jàːk kʰâw paj duː/
ยังอยากจะเข้าไปดู	/jaŋ jàːk tɕàʔ kʰâw paj duː/
ยังอยู่	/jaŋ jùː/
ยังอยู่	/jaŋ jùː/
ยังอ่อน	/jaŋ ʔɔ̀ːn/
ยังอ่าน	/jaŋ ʔàːn/
ทำให้ไม่เปิด	/tʰam hâj mâj pɤ̀ːt/
ทำให้ไม่ไป	/tʰam hâj mâj paj/
ทำให้ไม่พอใจ	/tʰam hâj mâj pʰɔː tɕaj/
ทำให้ไม่พูด	/tʰam hâj mâj pʰûːt/
ทำให้ไม่มา	/tʰam hâj mâj maː/
ทำให้ไม่มี	/tʰam hâj mâj miː/
ทำให้ไม่ยิ้ม	/tʰam hâj mâj jím/
ทำให้ไม่รัก	/tʰam hâj mâj rák/
ทำให้ไม่เล่น	/tʰam hâj mâj lên/
ทำให้ไม่วิ่ง	/tʰam hâj mâj wîŋ/
ทำให้ไม่ให้	/tʰam hâj mâj hâj/
ทำให้ไม่อ่าน	/tʰam hâj mâj ʔàːn/
ทำให้ย่น	/tʰam hâj jôn/
ทำให้ยับเยิน	/tʰam hâj jáp jɤːn/
ทำให้ยิ้ม	/tʰam hâj jím/
ทำให้ยุ่ง	/tʰam hâj jûŋ/
ทำให้ร้อน	/tʰam hâj rɔ́ːn/
ทำให้รัก	/tʰam hâj rák/
ทำให้ร้าว	/tʰam hâj ráːw/
ทำให้ไร้กังวล	/tʰam hâj ráj kaŋ won/
ทำให้ไร้ความสามารถ	/tʰam hâj ráj kʰwaːm sǎː mâːt/
ทำให้ละลาย	/tʰam hâj láʔ laːj/
ทำให้ล่าช้า	/tʰam hâj lâː tɕʰáː/
ทำให้เล่น	/tʰam hâj lên/
ทำให้วิ่ง	/tʰam hâj wîŋ/
ทำให้เวลาผ่านไป	/tʰam hâj weː laː pʰàːn paj/
ทำให้โศกเศร้า	/tʰam hâj sòːk sâw/
ทำให้ส่ง	/tʰam hâj sòŋ/
ทำให้สงสาร	/tʰam hâj sǒŋ sǎːn/
ทำให้สนใจ	/tʰam hâj sǒn tɕaj/
ทำให้สบาย	/tʰam hâj sà baːj/
ทำให้สมดุล	/tʰam hâj sà má dun/
ทำให้สมบูรณ์	/tʰam hâj sǒm buːn/
ทำให้สะดวกขึ้น	/tʰam hâj sàʔ dùːak kʰɯ̂n/
ทำให้สะดุ้ง	/tʰam hâj sàʔ dûŋ/
ทำให้สะดุ้งตกใจ	/tʰam hâj sàʔ dûŋ tòk tɕaj/
ทำให้สะอาด	/tʰam hâj sàʔ ʔàːt/
ทำให้สั้นลง	/tʰam hâj sân loŋ/
ทำให้สำเร็จ	/tʰam hâj sǎm rèt/
ทำให้เสร็จ	/tʰam hâj sèt/
ทำให้เสียขวัญ	/tʰam hâj sǐːa kʰwǎn/
ทำให้เสียใจ	/tʰam hâj sǐːa tɕaj/
ทำให้เสียหาย	/tʰam hâj sǐːa hǎːj/
ทำให้เสื่อมทราม	/tʰam hâj sɯ̀ːam saːm/
ลดหย่อน	/lót jɔ̀ːn/
ลดหย่อนผ่อนโทษ	/lót jɔ̀ːn pʰɔ̀ːn tʰôːt/
ลดหลั่น	/lót làn/
ลดหลั่น	/lót làn/
ลดราวาศอก	/lót raː waː sɔ̀ːk/
ลดเลี้ยว	/lót líːaw/
ลน	/lon/
ลนไฟ	/lon faj/
ล้น	/lón/
ล้นเกล้าล้นกระหม่อม	/lón klâw lón kràʔ mɔ̀ːm/
ล้นพ้น	/lón pʰón/
ล้นมือ	/lón mɯː/
ล้นหลาม	/lón lǎːm/
ล้นหลาม	/lón lǎːm/
ล้นเหลือ	/lón lɯ̌ːa/
ลนลาน	/lon laːn/
ลบ	/lóp/
ลบคำสบประมาท	/lóp kʰam sòp pràʔ màːt/
ลบรอยตีนตะขาบ	/lóp rɔːj tiːn tàʔ kʰàːp/
ลบล้าง	/lóp láːŋ/
ลบล้างคำสบประมาท	/lóp láːŋ kʰam sòp pràʔ màːt/
ลบเลือน	/lóp lɯːan/
ลบหลู่	/lóp lùː/
ลบเหลี่ยม	/lóp lìːam/
ลบออก	/lóp ʔɔ̀ːk/
ลบ.	/lóp bùʔ riː/
ลพ.	/lam pʰuːn/
ลพบุรี	/lóp bùʔ riː/
ลม	/lom/
ลมกรด	/lom kròt/
ลมโกรก	/lom kròːk/
ลมจัด 	/lom tɕàt/
ลมโชย	/lom tɕʰoːj/
ลมดี	/lom diː/
ลมแดด	/lom dɛ̀ːt/
ลมทะเล	/lom tʰáʔ leː/
ลมปาก	/lom pàːk/
ลมเพลมพัด	/lom pʰeː lom pʰát/
ลมฟ้าอากาศ	/lom fáː ʔaː kàːt/
ลมมรสุม	/lom mɔː rá sǔm/
ลมแรง	/lom rɛːŋ/
ลม ๆ แล้ง ๆ	/lom lɛ́ːŋ/
ลมวน	/lom won/
นำร่อง	/nam rɔ̂ːŋ/
นำลิ่ว	/nam lîw/
นำส่ง	/nam sòŋ/
นำสมัย	/nam sà mǎj/
นำสินค้าเข้า	/nam sǐn kʰáː kʰâw/
นำสืบ	/nam sɯ̀ːp/
นำเสนอ	/nam sà nɤ̌ː/
นำหน้า	/nam nâː/
นำออกแสดง	/nam ʔɔ̀ːk sà dɛːŋ/
น้ำ	/náːm/
น้ำกรด	/nám kròt/
น้ำกร่อย	/náːm krɔ̀ːj/
น้ำกระด้าง	/náːm kràʔ dâːŋ/
น้ำกระเพื่อม	/náːm kràʔ pʰɯ̂ːam/
น้ำกระสาย	/náːm kràʔ sǎːj/
น้ำกลั่น	/náːm klàn/
น้ำก๊อก	/náːm kɔ́ːk/
น้ำกะทิ	/náːm kàʔ tʰíʔ/
น้ำกาม	/náːm kaːm/
น้ำกิน	/náːm kin/
น้ำเกลือ	/náːm klɯːa/
น้ำเกิด	/náːm kɤ̀ːt/
น้ำแกง	/nám kɛːŋ/
น้ำขวด	/náːm kʰùːat/
น้ำขัง	/náːm kʰǎŋ/
น้ำขาว	/náːm kʰǎːw/
น้ำข้าว	/nám kʰâːw/
น้ำขิง	/nám kʰǐŋ/
น้ำขึ้น	/náːm kʰɯ̂n/
น้ำขึ้นน้ำลง	/náːm kʰɯ̂n náːm loŋ/
น้ำแข็ง	/nám kʰɛ̌ŋ/
น้ำแข็งแห้ง	/nám kʰɛ̌ŋ hɛ̂ːŋ/
น้ำครึ่งแก้ว 	/náːm kʰrɯ̂ŋ kɛ̂ːw/
น้ำคลอง	/náːm kʰlɔːŋ/
น้ำคาเนื้อ	/náːm kʰaː nɯ́ːa/
น้ำค้าง	/nám kʰáːŋ/
น้ำค้างแข็ง	/náːm kʰáːŋ kʰɛ̌ŋ/
น้ำคาวปลา	/náːm kʰaːw plaː/
น้ำคำ	/nám kʰam/
น้ำเค็ม	/nám kʰem/
น้ำเคย	/náːm kʰɤːj/
น้ำโคลน	/nám kʰloːn/
น้ำโคลนเจาะน้ำมัน	/nám kʰloːn tɕɔ̀ʔ nám man/
น้ำงา	/náːm ŋaː/
น้ำเงิน	/nám ŋɤn/
เบ็คกี้	/bèk kîː/
เบคอน	/beː kʰɔ̂ːn/
เบ่ง	/bèŋ/
เบ่งกล้าม	/bèŋ klâːm/
เบ่งบาน	/bèŋ baːn/
เบจ	/bèːt/
เบซิล	/beː sin/
เบซีเลต	/beː siː lêːt/
เบญจพรรณ	/bà jèːt pʰan/
เบญจเพส	/beːn tɕà pʰêːt/
เบญจม	/beːn tɕà má/
เบญจมาศ	/beːn tɕà mâːt/
เบญจา	/beːn tɕaː/
เบ็ด	/bèt/
เบ็ดราว	/bèt raːw/
เบ็ดเตล็ด	/bèt tàʔ lèt/
เบ็ดเสร็จ	/bèt sèt/
เบตง	/beː toŋ/
เบ็ตซี่	/bèt sîː/
เบ็ตตี้	/bèt tîː/
เบต้า	/beː tâː/
เบ็ธ	/bèt/
เบธานี	/beː tʰaː niː/
เบน	/beːn/
เบนเข็ม	/beːn kʰěm/
เบนงบประมาณลงไปยัง	/beːn ŋóp pràʔ maːn loŋ paj jaŋ/
เบ็น	/ben/
เบนจามิน	/beːn tɕaː min/
เบนจามิน แฮร์ริสัน	/beːn tɕaː min hɛː ríʔ sǎn/
เบนซ์	/beːn/
เบ็นซิน	/ben sin/
เบ็นซิน	/ben sin/
เบ็นนี่	/ben nîː/
เบนิน	/beː nin/
เบย	/bɤːj/
เบรค	/brèːk/
เบรคมือ	/brèːk mɯː/
เบรคหลัง	/brèːk lǎŋ/
เบรด	/brèːt/
เบร็ทท์	/brèt/
เบรนดอน	/breːn dɔːn/
เบรนดัน	/breːn dan/
เบรนด้า	/breːn dâː/
เบรเมิน	/beːn mɤːn/
เบรล	/bà reːn/
กล้วยฉาบ	/klûaj tɕʰàːp/
กล้วยเชื่อม	/klûaj tɕʰɯ̂ːam/
กล้วยตานี	/klûaj taː niː/
กล้วยทอด	/klûaj tʰɔ̂ːt/
กล้วยน้ำไทย	/klûaj náːm tʰaj/
กล้วยน้ำว้า	/klûaj náːm wáː/
กล้วยบวชชี	/klûaj bùːat tɕʰiː/
กล้วยไม้ 	/klûaj máːj/
กล้วยไม้ป่า	/klûaj máːj pàː/
กล้วยหอม 	/klûaj hɔ̌ːm/
กล้วย ๆ	/klûaj klûaj/
กลวิธี	/kon lá wíʔ tʰiː/
กลวิธีแบ่งแยกแล้วปกครอง	/kon lá wíʔ tʰiː bɛ̀ŋ jɛ̂ːk lɛ́ːw pòk kʰrɔːŋ/
กลศาสตร์	/kon lá sàːt/
กลศาสตร์ของไหล	/kon lá sàːt kʰɔ̌ːŋ lǎj/
กลอก	/klɔ̀ːk/
กลอกกลิ้ง	/klɔ̀ːk klîŋ/
กลอกตา	/klɔ̀ːk taː/
กลอกลูกตา	/klɔ̀ːk lûːk taː/
กลอง	/klɔːŋ/
กลองยาว	/klɔːŋ jaːw/
กล่อง	/klɔ̀ːŋ/
กล่องเกียร์	/klɔ̀ːŋ kiːa/
กล่องข้าว	/klɔ̀ːŋ kʰâːw/
กล่องเครื่องมือ	/klɔ̀ːŋ kʰrɯ̂ːaŋ mɯː/
กล่องดนตรี	/klɔ̀ːŋ don triː/
กล่องทราย	/klɔ̀ːŋ saːj/
กล่องบรรจุ 	/klɔ̀ːŋ ban tɕùʔ/
กล่องฟิวส์	/klɔ̀ːŋ fiw/
กล่องโฟม	/klɔ̀ːŋ foːm/
กล่องเสียง	/klɔ̀ːŋ sǐːaŋ/
กล่องใส่ดินสอ	/klɔ̀ːŋ sàj din sɔ̌ː/
กล่องใส่ลวดหนีบกระดาษ	/klɔ̀ːŋ sàj lûːat nìːp kràʔ dàːt/
กล้อง	/klɔ̂ːŋ/
กล้องขยาย	/klɔ̂ːŋ kʰà jǎːj/
กล้องจุลทัศน์ 	/klɔ̂ːŋ tɕun lá tʰát/
กล้องดิจิตอล	/klɔ̂ːŋ dìʔ tɕìʔ tɔːn/
กล้องดูดาว	/klɔ̂ːŋ duː daːw/
กล้องถ่ายรูป 	/klɔ̂ːŋ tʰàːj rûːp/
กล้องถ่ายรูปชนิดใช้แผ่นดิสก์	/klɔ̂ːŋ tʰàːj rûːp tɕʰá nít tɕʰáj pʰɛ̀n dìt/
กล้องถ่ายวิดีโอ	/klɔ̂ːŋ tʰàːj wíʔ diː ʔoː/
กล้องโทรทรรศน์	/klɔ̂ːŋ tʰoː rá tʰát/
กล้องโทรทัศน์ 	/klɔ̂ːŋ tʰoː rá tʰát/
กล้องโทรทัศน์วงจรปิด	/klɔ̂ːŋ tʰoː rá tʰát woŋ tɕɔːn pìt/
กล้องบันทึกภาพ 	/klɔ̂ːŋ ban tʰɯ́k pʰâːp/
กล้องยาสูบ	/klɔ̂ːŋ jaː sùːp/
กล้องยาเส้น 	/klɔ̂ːŋ jaː sên/
ขี้หลี	/kʰîː lǐː/
ขี้หึง	/kʰîː hɯ̌ŋ/
ขี้เหนียว	/kʰîː nǐːaw/
ขี้เหร่	/kʰîː rèʔ/
ขี้เหล้า	/kʰîː lâw/
ขี้เหล้าเมายา	/kʰîː lâw maw jaː/
ขี้เหวี่ยง	/kʰîː wìːaŋ/
ขี้เหวี่ยงขี้วีน	/kʰîː wìːaŋ kʰîː wiːn/
ขี้อวด	/kʰîː ʔùːat/
ขี้อ้อน	/kʰîː ʔɔ̂ːn/
ขี้อ้อน	/kʰîː ʔɔ̂ːn/
ขี้อาย	/kʰîː ʔaːj/
ขี้อิจฉา	/kʰîː ʔìt tɕʰǎː/
ขี้โอ่	/kʰîː ʔòː/
ขี้กลาก	/kʰîːk lâːk/
ขี้กะโล้โท้	/kʰîː kàʔ lóː tʰóː/
ขี้ข้า	/kʰîː kʰâː/
ขีด	/kʰìːt/
ขีดความสามารถ	/kʰìːt kʰwaːm sǎː mâːt/
ขีดฆ่า	/kʰìːt kʰâː/
ขีดฆ่าออก	/kʰìːt kʰâː ʔɔ̀ːk/
ขีดจำกัด	/kʰìːt tɕam kàt/
ขีดเส้นตาย	/kʰìːt sên taːj/
ขีดเส้นใต้	/kʰìːt sên tâj/
ขี้เท่อ	/kʰîː tʰɤ̂ː/
ขีปนาวุธ	/kʰǐː pà naː wút/
ขีปนาวุธข้ามทวีป	/kʰǐː pà naː wút kʰâːm tʰá wîːp/
ขีปนาวุธนำวิถี	/kʰǐː pà naː wút nam wíʔ tʰǐː/
ขีปนาวุธพิสัยใกล้	/kʰǐː pà naː wút pʰíʔ sǎj klâj/
ขีปนาวุธพิสัยไกล	/kʰǐː pà naː wút pʰíʔ sǎj klaj/
ขี้ริ้ว	/kʰîː ríw/
ขี้ริ้วขี้เหร่	/kʰîː ríw kʰîː rèʔ/
ขี้เลื่อย	/kʰîː lɯ̂ːaj/
ขึง	/kʰɯ̌ŋ/
ขึงพืด	/kʰɯ̌ŋ pʰɯ̂ːt/
ขึ้ง	/kʰɯ̂ŋ/
ขึงขัง	/kʰɯ̌ŋ kʰǎŋ/
ขึ้น	/kʰɯ̂n/
ขึ้นกล้อง	/kʰɯ̂n klɔ̂ːŋ/
ขึ้นกับ	/kʰɯ̂n kàp/
ขึ้นครองราชสมบัติ	/kʰɯ̂n kʰrɔːŋ râːt tɕʰá sǒm bàt/
ขึ้นครองราชย์	/kʰɯ̂n kʰrɔːŋ râːt/
ขึ้นคอ	/kʰɯ̂n kʰɔː/
ขึ้นเครื่อง	/kʰɯ̂n kʰrɯ̂ːaŋ/
ขึ้นเครื่องด่วน	/kʰɯ̂n kʰrɯ̂ːaŋ dùːan/
ปลิวว่อน	/pliw wɔ̂ːn/
ปลิวว่อนทั่วโลก	/pliw wɔ̂ːn tʰûːa lôːk/
ปลี	/pliː/
ปลีก	/plìːk/
ปลีกตัว	/plìːk tuːa/
ปลีกย่อย	/plìːk jɔ̂ːj/
ปลีกย่อย	/plìːk jɔ̂ːj/
ปลีกวิเวก	/plìːk wíʔ wêːk/
ปลื้ม	/plɯ̂ːm/
ปลื้มใจ	/plɯ̂ːm tɕaj/
ปลื้มปิติ	/plɯ̂ːm pìʔ tìʔ/
ปลุก	/plùk/
ปลุกกระแส	/plùk kràʔ sɛ̌ː/
ปลุกใจ	/plùk tɕaj/
ปลุกใจ	/plùk tɕaj/
ปลุกปล้ำ	/plùk plâm/
ปลุกปั่น	/plùk pàn/
ปลุกเร้า	/plùk ráːw/
ปลุกเร้าด้วยการโห่ร้อง	/plùk ráːw dûaj kaːn hòː rɔ́ːŋ/
ปลุกเร้าบทสนทนา	/plùk ráːw bòt sǒn tʰá naː/
ปลุกเสก	/plùk sèːk/
ปลุกให้ตื่น	/plùk hâj tɯ̀ːn/
ปลุกอารมณ์	/plùk ʔaː rom/
ปลูก	/plùːk/
ปลูกจิตสำนึก	/plùːk tɕìt sǎm nɯ́k/
ปลูกต้นไม้	/plùːk tôn máːj/
ปลูกถ่าย	/plùːk tʰàːj/
ปลูกบ้าน	/plùːk bâːn/
ปลูกฝัง	/plùːk fǎŋ/
ปลูกฝี	/plùːk fǐː/
ปลูกพืชเชิงเดี่ยว	/plùːk pʰɯ̂ːt tɕʰɤːŋ dìːaw/
ปลูกสร้าง	/plùːk sâːŋ/
ปวกเปียก	/pùːak pìːak/
ปวง	/puːaŋ/
ปวงชน	/puːaŋ tɕʰon/
ปวงประชา	/puːaŋ pràʔ tɕʰaː/
ป่วง	/pùːaŋ/
ปวช.	/pɔː wɔː tɕʰɔː/
ปวด	/pùːat/
ปวดกบาล	/pùːat kà baːn/
ปวดกะโหลก	/pùːat kàʔ lòːk/
ปวดขี้	/pùːat kʰîː/
ปวดใจ	/pùːat tɕaj/
ปวดตา	/pùːat taː/
ควอร์เตอร์แบ็ค	/kʰwɔː tɤː bɛ̀k/
ควัก	/kʰwák/
ควักกระเป๋า	/kʰwák kràʔ pǎw/
ควั่ก	/kʰwâk/
ควัน	/kʰwan/
ควันพิษ	/kʰwan pʰít/
ควันไฟ	/kʰwan faj/
ควันหลง	/kʰwan lǒŋ/
ควั่น	/kʰwân/
ควั่นอ้อย	/kʰwân ʔɔ̂ːj/
คว้า	/kʰwáː/
คว้าน้ำเหลว	/kʰwáː náːm lěːw/
คว้าน้ำเหลว	/kʰwáː náːm lěːw/
คว้าโอกาส	/kʰwáː ʔoː kàːt/
คว้าโอกาสที่ดี	/kʰwáː ʔoː kàːt tʰîː diː/
ควาก	/kʰwâːk/
คว้าง	/kʰwáːŋ/
ควาญ	/kʰwaːn/
ควาญช้าง	/kʰwaːn tɕʰáːŋ/
ควาน	/kʰwaːn/
ควานหาเข็มในมหาสมุทร	/kʰwaːn hǎː kʰěm naj má hǎː sà mùt/
คว้าน	/kʰwáːn/
คว้านไส้	/kʰwáːn sâj/
ความ	/kʰwaːm/
ความกด	/kʰwaːm kòt/
ความกดดัน	/kʰwaːm kòt dan/
ความกดอากาศ	/kʰwaːm kòt ʔaː kàːt/
ความกตัญญู	/kʰwaːm kà tan juː/
ความกตัญญูรู้คุณ	/kʰwaːm kà tan juː rúː kʰun/
ความกระจ่าง	/kʰwaːm kràʔ tɕàːŋ/
ความกระชับ	/kʰwaːm kràʔ tɕʰáp/
ความกระตือรือร้น	/kʰwaːm kràʔ tɯː rɯː rón/
ความกรุณาปรานี	/kʰwaːm kà rúʔ naː praː niː/
ความกลมกลืน	/kʰwaːm klom klɯːn/
ความกลัว	/kʰwaːm kluːa/
ความกล้า	/kʰwaːm klâː/
ความกล้า	/kʰwaːm klâː/
ความกล้าหาญ	/kʰwaːm klâː hǎːn/
ความกล้าหาญชาญชัย	/kʰwaːm klâː hǎːn tɕʰaːn tɕʰaj/
ความกล่าวโทษ	/kʰwaːm klàːw tʰôːt/
ความกว้าง	/kʰwaːm kwâːŋ/
ความกังขา	/kʰwaːm kaŋ kʰǎː/
ความกังวล	/kʰwaːm kaŋ won/
ความกังวลใจ	/kʰwaːm kaŋ won tɕaj/
ความก้าวหน้า	/kʰwaːm kâːw nâː/
ผู้ตรวจการแผ่นดินรัฐสภา	/pʰûː trùːat kaːn pʰɛ̀n din rát tʰà sà pʰaː/
ผู้ตรวจราชการ	/pʰûː trùːat râːt tɕʰá kaːn/
ผู้ตรวจราชการแผ่นดิน	/pʰûː trùːat râːt tɕʰá kaːn pʰɛ̀n din/
ผู้ตรวจสอบ	/pʰûː trùːat sɔ̀ːp/
ผู้ตรวจสอบบัญชี	/pʰûː trùːat sɔ̀ːp ban tɕʰiː/
ผู้ต้องรับผิด	/pʰûː tɔ̂ŋ ráp pʰìt/
ผู้ต้องสงสัย	/pʰûː tɔ̂ŋ sǒŋ sǎj/
ผู้ต้องหา	/pʰûː tɔ̂ŋ hǎː/
ผู้ต้องหา	/pʰûː tɔ̂ŋ hǎː/
ผู้ต้องหาฆ่า	/pʰûː tɔ̂ŋ hǎː kʰâː/
ผู้ตอบ	/pʰûː tɔ̀ːp/
ผู้ตัดสิน	/pʰûː tàt sǐn/
ผู้ตัดสินใจ	/pʰûː tàt sǐn tɕaj/
ผู้ตาม	/pʰûː taːm/
ผู้ตาย	/pʰûː taːj/
ผู้ติดตาม	/pʰûː tìt taːm/
ผู้ตีลูกเบสบอล	/pʰûː tiː lûːk bèːt bɔːn/
ผู้เต้นรำจังหวะวอลทซ์	/pʰûː tên ram tɕaŋ wàʔ wɔːn/
ผู้เต้นสเกตน้ำแข็ง	/pʰûː tên sàʔ két nám kʰɛ̌ŋ/
ผู้แต่ง	/pʰûː tɛ̀ŋ/
