𠻺	/a:˨/
忠孝	/tsʊŋ˥ ha:u˧/
忠孝不能兩全	/tsʊŋ˥ ha:u˧ pɐt˥ nɐŋ˨˩ lœ:ŋ˩˧ tsʰy:n˨˩/, /tsʊŋ˥ ha:u˧ pɐt˥ lɐŋ˨˩ lœ:ŋ˩˧ tsʰy:n˨˩/
忠實	/tsʊŋ˥ sɐt˨/
忠心	/tsʊŋ˥ sɐm˥/
忠心耿耿	/tsʊŋ˥ sɐm˥ kɐŋ˧˥ kɐŋ˧˥/
忠於	/tsʊŋ˥ jy:˥/
忠烈	/tsʊŋ˥ li:t˨/
忠烈祠	/tsʊŋ˥ li:t˨ tsʰi:˨˩/
忠直	/tsʊŋ˥ tsɪk˨/
忠義	/tsʊŋ˥ ji:˨/
忠肝義膽	/tsʊŋ˥ kɔ:n˥ ji:˨ ta:m˧˥/
忠臣	/tsʊŋ˥ sɐn˨˩/
忠臣孝子	/tsʊŋ˥ sɐn˨˩ ha:u˧ tsi:˧˥/
忠角	/tsʊŋ˥ kɔ:k˧/
忠言	/tsʊŋ˥ ji:n˨˩/
忠言逆耳	/tsʊŋ˥ ji:n˨˩ jɪk˨ ji:˩˧/, /tsʊŋ˥ ji:n˨˩ a:k˨ ji:˩˧/
忠誠	/tsʊŋ˥ sɪŋ˨˩/
忠貞	/tsʊŋ˥ tsɪŋ˥/
忠貞不二	/tsʊŋ˥ tsɪŋ˥ pɐt˥ ji:˨/
忡	/tsʰʊŋ˥/
忢	/ŋ˨/
忣	/kɐp˥/
忤	/ŋ˩˧/
忤逆	/ŋ˩˧ jɪk˨/, /ŋ˩˧ a:k˨/
忨	/wu:n˨/
忪	/sʊŋ˥/, /tsʊŋ˥/
快	/fa:i˧/
快人快語	/fa:i˧ jɐn˨˩ fa:i˧ jy:˩˧/
快佬	/fa:i˥ lou˧˥/
快勞	/fa:i˥ lou˧˥/
快啲	/fa:i˧ ti:t˥/
快啲啦！	/fa:i˧ ti:˥ la:˥/
快啲好翻	/fa:i˧ ti:˥ hou˧˥ fa:n˥/
快啲行喇	/fa:i˧ ti:˥ ha:ŋ˨˩ la:˧/
快快脆脆	/fa:i˧ fa:i˧ tsʰɵy˧ tsʰɵy˧/
快快趣趣	/fa:i˧ fa:i˧ tsʰɵy˧ tsʰɵy˧/
快感	/fa:i˧ kɐm˧˥/
快手	/fa:i˧ sɐu˧˥/
快手啲	/fa:i˧ sɐu˧˥ ti:˥/
快手快腳	/fa:i˧ sɐu˧˥ fa:i˧ kœ:k˧/
快捷	/fa:i˧ tsi:t˨/
快樂	/fa:i˧ lɔ:k˨/
快脆	/fa:i˧ tsʰɵy˧/
快艇	/fa:i˧ tʰɛ:ŋ˩˧/
快趣	/fa:i˧ tsʰɵy˧/
快速	/fa:i˧ tsʰʊk˥/
快過打針	/fa:i˧ kwɔ:˧ ta:˧˥ tsɐm˥/
快遞	/fa:i˧ tɐi˨/
快馬	/fa:i˧ ma:˩˧/
快馬啲	/fa:i˧ ma:˩˧ ti:˥/
快高長大	/fa:i˧ kou˥ tsœ:ŋ˧˥ ta:i˨/
忭	/pi:n˨/
忮	/kei˨/, /tsi:˧/
忱	/sɐm˨˩/
忳	/tʰɐn˨˩/
忳	/tʰy:n˨˩/, /tsɵn˥/
忳嚟忳去	/tʰɐn˨˩ lei˨˩ tʰɐn˨˩ hɵy˧/
忳忳震	/tʰɐn˨˩ tʰɐn˨˩ tsɐn˧/
忳晒雞	/tʰɐn˨˩ sa:i˧ kɐi˥/
忳晒鷄	/tʰɐn˨˩ sa:i˧ kɐi˥/
忳雞	/tʰɐn˨˩ kɐi˥/
忳鷄	/tʰɐn˨˩ kɐi˥/
念	/ni:m˨/
念頭	/ni:m˨ tʰɐu˨˩/, /li:m˨ tʰɐu˨˩/
忷	/hʊŋ˥/
忸	/nɐu˧˥/, /nʊk˨/
忸怩	/nʊk˨ nei˨˩/, /lɐu˧˥ lei˨˩/, /lʊk˨ lei˨˩/
忺	/hi:m˥/
忻	/jɐn˥/
忼	/hʊŋ˧˥/
忽	/fɐt˥/
忽悠	/fɐt˥ jɐu˥/
忽然	/fɐt˥ ji:n˨˩/
忽略	/fɐt˥ lœ:k˨/
忽視	/fɐt˥ si:˨/
忿	/fɐn˩˧/, /fɐn˨/
忿氣	/fɐn˨ hei˧/
忿老	/fɐn˨ lou˩˧/
怃	/mou˩˧/
怊	/tsʰi:u˥/, /tʰi:u˨˩/
怋	/mɐn˨˩/
怍	/tsɔ:k˨/
怎	/tsɐm˧˥/
怎麼	/tsɐm˧˥ mɔ:˥/
怏	/jœ:ŋ˧˥/, /jœ:ŋ˧/
怐	/kʰɐu˧/, /ŋɐu˨/
怒	/nou˨/
怒斥	/nou˨ tsʰɪk˥/, /lou˨ tsʰɪk˥/
怒氣	/nou˨ hei˧/, /lou˨ hei˧/
怒氣沖沖	/nou˨ hei˧ tsʰʊŋ˥ tsʰʊŋ˥/, /lou˨ hei˧ tsʰʊŋ˥ tsʰʊŋ˥/
怒氣衝天	/nou˨ hei˧ tsʰʊŋ˥ tʰi:n˥/, /lou˨ hei˧ tsʰʊŋ˥ tʰi:n˥/
怒火	/nou˨ fɔ:˧˥/, /lou˨ fɔ:˧˥/
怒火中燒	/nou˨ fɔ:˧˥ tsʊŋ˥ si:u˥/, /lou˨ fɔ:˧˥ tsʊŋ˥ si:u˥/
怒火萬丈	/nou˨ fɔ:˧˥ ma:n˨ tsœ:ŋ˨/, /lou˨ fɔ:˧˥ ma:n˨ tsœ:ŋ˨/
怒目	/nou˨ mʊk˨/, /lou˨ mʊk˨/
怒目而視	/nou˨ mʊk˨ ji:˨˩ si:˨/, /lou˨ mʊk˨ ji:˨˩ si:˨/
怒罵	/nou˨ ma:˨/, /lou˨ ma:˨/
怒髮衝冠	/nou˨ fa:t˧ tsʰʊŋ˥ ku:n˥/, /lou˨ fa:t˧ tsʰʊŋ˥ ku:n˥/
怓	/na:u˨˩/
怔	/tsɪŋ˥/
怔住	/tsɪŋ˥ tsy:˨/
怕	/pʰa:˧/
怕𡁶	/pʰa:˧ tsi:t˥/
怕你呀	/pʰa:˧˥ nei˩˧ a:˧/, /pʰa:˧˥ lei˩˧ a:˧/
怕凍	/pʰa:˧ tʊŋ˧/
怕揤	/pʰa:˧ tsi:t˥/
怕擮	/pʰa:˧ tsi:t˥/
怕擳	/pʰa:˧ tsi:t˥/
怕苦	/pʰa:˧ fu:˧˥/
怕醜	/pʰa:˧ tsʰɐu˧˥/
怕醜草	/pʰa:˧ tsʰɐu˧˥ tsʰou˧˥/
怖	/pou˧/
怗	/tʰi:p˧/
怙	/wu:˨/
怙惡不悛	/wu:˨ ŋɔ:k˧ pɐt˥ sy:n˥/, /wu:˨ ɔ:k˧ pɐt˥ sy:n˥/
怚	/tsɵy˨/
怛	/ta:t˧/
思	/si:˥/, /si:˧/, /sɔ:i˥/
思忖	/si:˥ tsʰy:n˧˥/
思思縮縮	/si:˥ si:˥ sʊk˥ sʊk˥/
思想	/si:˥ sœ:ŋ˧˥/
思慮	/si:˥ lɵy˨/
思疑	/si:˥ ji:˨˩/
思維	/si:˥ wɐi˨˩/
思縮	/si:˥ sʊk˥/
思考	/si:˥ ha:u˧˥/
思考方式	/si:˥ ha:u˧˥ fɔ:ŋ˥ sɪk˥/
怞	/jɐu˨˩/, /tsɐu˨/
怠	/tɔ:i˨/, /tʰɔ:i˩˧/
怠慢	/tɔ:i˨ ma:n˨/
怡	/ji:˨˩/
怢	/tɐt˨/
急	/kɐp˥/
急不及待	/kɐp˥ pɐt˥ kʰɐp˨ tɔ:i˨/
急到凼凼轉	/kɐp˥ tou˧ tʰɐm˨˩ tʰɐm˧˥ tsy:n˧/
急到氹氹轉	/kɐp˥ tou˧ tʰɐm˨˩ tʰɐm˧˥ tsy:n˧/
急口令	/kɐp˥ hɐu˧˥ lɪŋ˨/
急尿	/kɐp˥ ni:u˨/, /kɐp˥ li:u˨/
急屎	/kɐp˥ si:˧˥/
急忙	/kɐp˥ mɔ:ŋ˨˩/
急急腳	/kɐp˥ kɐp˥ kœ:k˧/
急急腳去	/kɐp˥ kɐp˥ kœ:k˧ hɵy˧/
急救	/kɐp˥ kɐu˧/
急救法	/kɐp˥ kɐu˧ fa:t˧/
急救箱	/kɐp˥ kɐu˧ sœ:ŋ˥/
急症室	/kɐp˥ tsɪŋ˧ sɐt˥/
急跌	/kɐp˥ ti:t˧/
急速	/kɐp˥ tsʰʊk˥/
急需	/kɐp˥ sɵy˥/
怦	/pʰɪŋ˥/
怦怦	/pʰɪŋ˥ pʰɪŋ˥/
怦然	/pʰɪŋ˥ ji:n˨˩/
性	/sɪŋ˧/
性交	/sɪŋ˧ ka:u˥/
性別	/sɪŋ˧ pi:t˨/
性取向	/sɪŋ˧ tsʰɵy˧˥ hœ:ŋ˧/
性向	/sɪŋ˧ hœ:ŋ˧/
性命	/sɪŋ˧ mɪŋ˨/
性命不保	/sɪŋ˧ mɪŋ˨ pɐt˥ pou˧˥/
性器官	/sɪŋ˧ hei˧ ku:n˥/
性急	/sɪŋ˧ kɐp˥/
性情	/sɪŋ˧ tsʰɪŋ˨˩/
性情平和	/sɪŋ˧ tsʰɪŋ˨˩ pʰɪŋ˨˩ wɔ:˨˩/
性愛	/sɪŋ˧ ɔ:i˧/, /sɪŋ˧ ŋɔ:i˧/
性感	/sɪŋ˧ kɐm˧˥/
性感尤物	/sɪŋ˧ kɐm˧˥ jɐu˨˩ mɐt˨/
性慾	/sɪŋ˧ jʊk˨/
性教育	/sɪŋ˧ ka:u˧ jʊk˨/
性格	/sɪŋ˧ ka:k˧/
性激素	/sɪŋ˧ kɪk˥ sou˧/
性無能	/sɪŋ˧ mou˨˩ nɐŋ˨˩/, /sɪŋ˧ mou˨˩ lɐŋ˨˩/
性理	/sɪŋ˧ lei˩˧/
性病	/sɪŋ˧ pɪŋ˨/
性知識	/sɪŋ˧ tsi:˥ sɪk˥/
性經驗	/sɪŋ˧ kɪŋ˥ ji:m˨/
性能	/sɪŋ˧ nɐŋ˨˩/, /sɪŋ˧ lɐŋ˨˩/
性行為	/sɪŋ˧ hɐŋ˨˩ wɐi˨˩/
性變態	/sɪŋ˧ pi:n˧ tʰa:i˧/
性質	/sɪŋ˧ tsɐt˥/
性趣	/sɪŋ˧ tsʰɵy˧/
怨	/jy:n˧/
怨唱	/jy:n˧ tsʰœ:ŋ˧/
怨天尤人	/jy:n˧ tʰi:n˥ jɐu˨˩ jɐn˨˩/
怨恨	/jy:n˧ hɐn˨/
怨氣	/jy:n˧ hei˧/
怨聲載道	/jy:n˧ sɪŋ˥ tsɔ:i˧ tou˨/
怩	/nei˨˩/
怪	/kwa:i˧/
怪之得	/kwa:i˧ tsi:˥ tɐk˥/
怪事	/kwa:i˧ si:˨/
怪人	/kwa:i˧ jɐn˨˩/
怪叫	/kwa:i˧ ki:u˧/
怪哉	/kwa:i˧ tsɔ:i˥/
怪唔之得	/kwa:i˧ m̩˨˩ tsi:˥ tɐk˥/
怪唔得	/kwa:i˧ m̩˨˩ tɐk˥/
怪怪	/kwa:i˧ kwa:i˧/
怪模怪樣	/kwa:i˧ mou˨˩ kwa:i˧ jœ:ŋ˨/
怪物	/kwa:i˧ mɐt˨/
怪獸	/kwa:i˧ sɐu˧/
怪異	/kwa:i˧ ji:˨/
怪病	/kwa:i˧ pɛ:ŋ˨/
怪癖	/kwa:i˧ pʰɪk˥/
怪石	/kwa:i˧ sɛ:k˨/
怪石嶙峋	/kwa:i˧ sɛ:k˨ lɵn˨˩ sɵn˥/
怪笑	/kwa:i˧ si:u˧/
怪罪	/kwa:i˧ tsɵy˨/
怪聲怪氣	/kwa:i˧ sɛ:ŋ˥ kwa:i˧ hei˧/
怪胎	/kwa:i˧ tʰɔ:i˥/
怪裡怪氣	/kwa:i˧ lɵy˩˧ kwa:i˧ hei˧/
怪誕	/kwa:i˧ ta:n˧/
怪誕不經	/kwa:i˧ ta:n˧ pɐt˥ kɪŋ˥/
怪談	/kwa:i˧ tʰa:m˨˩/
怪論	/kwa:i˧ lɵn˨/
怪錯	/kwa:i˧ tsʰɔ:˧/
怫	/fɐi˧/, /fɐt˨/
怭	/pi:t˥/
怮	/jɐu˥/
怯	/hi:p˧/
怯場	/hi:p˧ tsʰœ:ŋ˨˩/
怯弱	/hi:p˧ jœ:k˨/
怯意	/hi:p˧ ji:˧/
怯懦	/hi:p˧ nɔ:˨/, /hi:p˧ lɔ:˨/
怯生生	/hi:p˧ sɐŋ˥ sɐŋ˥/
怯頭怯腦	/hi:p˧ tʰɐu˨˩ hi:p˧ nou˩˧/, /hi:p˧ tʰɐu˨˩ hi:p˧ lou˩˧/
怱	/tsʰʊŋ˥/
怲	/pɪŋ˧˥/
怳	/fɔ:ŋ˧˥/, /fɔ:ŋ˧/
怵	/tsɵt˥/
怵惕	/tsɵt˥ tʰɪk˥/
怵然	/tsɵt˥ ji:n˨˩/
怵目驚心	/tsɵt˥ mʊk˨ kɪŋ˥ sɐm˥/
怶	/pʰɛ:˩˧/
怹	/tʰa:˥/
怼	/tɵy˨/, /tsɵy˨/
怿	/jɪk˨/
恀	/tsʰi:˧˥/
恁	/jɐm˨/
恂	/sɵn˥/
恃	/tsʰi:˩˧/
恃強凌弱	/tsʰi:˩˧ kʰœ:ŋ˨˩ lɪŋ˨˩ jœ:k˨/
恃強欺弱	/tsʰi:˩˧ kʰœ:ŋ˨˩ hei˥ jœ:k˨/
恃才傲物	/tsʰi:˩˧ tsʰɔ:i˨˩ ŋou˨ mɐt˨/, /tsʰi:˩˧ tsʰɔ:i˨˩ ou˨ mɐt˨/
恃老賣老	/tsʰi:˩˧ lou˩˧ ma:i˨ lou˩˧/
恅	/lou˩˧/
恆	/hɐŋ˨˩/
恆久	/hɐŋ˨˩ kɐu˧˥/
恆壓	/hɐŋ˨˩ a:t˧/, /hɐŋ˨˩ ŋa:t˧/
恆定	/hɐŋ˨˩ tɪŋ˨/
恆常	/hɐŋ˨˩ sœ:ŋ˨˩/
恆心	/hɐŋ˨˩ sɐm˥/
恆星	/hɐŋ˨˩ sɪŋ˥/
恆星年	/hɐŋ˨˩ sɪŋ˥ ni:n˨˩/, /hɐŋ˨˩ sɪŋ˥ li:n˨˩/
恆星日	/hɐŋ˨˩ sɪŋ˥ jy:t˨/
恆有	/hɐŋ˨˩ jɐu˩˧/
恆河沙數	/hɐŋ˨˩ hɔ:˨˩ sa:˥ sou˧/
恆溫	/hɐŋ˨˩ wɐn˥/
恆溫器	/hɐŋ˨˩ wɐn˥ hei˧/
恆溫層	/hɐŋ˨˩ wɐn˥ tsʰɐŋ˨˩/
恆產	/hɐŋ˨˩ tsʰa:n˧˥/
恆等	/hɐŋ˨˩ tɐŋ˧˥/
恆等式	/hɐŋ˨˩ tɐŋ˧˥ sɪk˥/
恆言	/hɐŋ˨˩ ji:n˨˩/
恆量	/hɐŋ˨˩ lœ:ŋ˨/
恆齒	/hɐŋ˨˩ tsʰi:˧˥/
恇	/hɔ:ŋ˥/
恉	/tsi:˧˥/
恌	/tʰi:u˥/
恍	/fɔ:ŋ˧˥/
恍如夢境	/fɔ:ŋ˧˥ jy:˨˩ mʊŋ˨ kɪŋ˧˥/
恍如隔世	/fɔ:ŋ˧˥ jy:˨˩ ka:k˧ sɐi˧/
恍恍惚惚	/fɔ:ŋ˧˥ fɔ:ŋ˧˥ fɐt˥ fɐt˥/
恍惚	/fɔ:ŋ˧˥ fɐt˥/
恍然大悟	/fɔ:ŋ˧˥ ji:n˨˩ ta:i˨ ŋ˨/
恍若	/fɔ:ŋ˧˥ jœ:k˨/
恐	/hʊŋ˧˥/
恐嚇	/hʊŋ˧˥ ha:k˧/
恐嚇信	/hʊŋ˧˥ ha:k˧ sɵn˧/
恐嚇性	/hʊŋ˧˥ ha:k˧ sɪŋ˧/
恐嚇罪	/hʊŋ˧˥ ha:k˧ tsɵy˨/
恐怕	/hʊŋ˧˥ pʰa:˧/
恐怖	/hʊŋ˧˥ pou˧/
恐怖主義	/hʊŋ˧˥ pou˧ tsy:˧˥ ji:˨/
恐怖分子	/hʊŋ˧˥ pou˧ fɐn˨ tsi:˧˥/
恐怖片	/hʊŋ˧˥ pou˧ pʰi:n˧˥/
恐怖症	/hʊŋ˧˥ pou˧ tsɪŋ˧/
恐怖電影	/hʊŋ˧˥ pou˧ ti:n˨ jɪŋ˧˥/
恐惧	/hʊŋ˧˥ kɵy˨/
恐慌	/hʊŋ˧˥ fɔ:ŋ˥/
恐懼	/hʊŋ˧˥ kɵy˨/
恐懼感	/hʊŋ˧˥ kɵy˨ kɐm˧˥/
恐水病	/hʊŋ˧˥ sɵy˧˥ pɪŋ˨/
恐龍	/hʊŋ˧˥ lʊŋ˨˩/
恐龍蛋	/hʊŋ˧˥ lʊŋ˨˩ ta:n˨/
恐龍骨	/hʊŋ˧˥ lʊŋ˨˩ kwɐt˥/
恓	/sɐi˥/
恔	/ha:u˨/
恕	/sy:˧/
恕不	/sy:˧ pɐt˥/
恕不奉陪	/sy:˧ pɐt˥ fʊŋ˨ pʰu:i˨˩/
恕罪	/sy:˧ tsɵy˨/
恙	/jœ:ŋ˨/
恚	/wɐi˨/
恛	/wu:i˨˩/
恝	/a:t˧/, /ka:t˥/, /ka:t˧/
恟	/hʊŋ˥/
恠	/kwa:i˧/
恢	/fu:i˥/
恢復	/fu:i˥ fʊk˨/
恣	/tsʰi:˧/, /tsi:˥/, /tsi:˧/
恤	/sɵt˥/
恤衫	/sɵt˥ sa:m˥/
恤金	/sɵt˥ kɐm˥/
恥	/tsʰi:˧˥/
恥辱	/tsʰi:˧˥ jʊk˨/
恥骨	/tsʰi:˧˥ kwɐt˥/
恧	/nʊk˥/, /nʊk˨/
恨	/hɐn˨/
恨不相逢未嫁時	/hɐn˨ pɐt˥ sœ:ŋ˥ fʊŋ˨˩ mei˨ ka:˧ si:˨˩/
恨意	/hɐn˨ ji:˧/
恨死	/hɐn˨ sei˧˥/
恨透	/hɐn˨ tʰɐu˧/
恨鐵不成鋼	/hɐn˨ tʰi:t˧ pɐt˥ sɪŋ˨˩ kɔ:ŋ˥/
恩	/jɐn˥/
恩人	/jɐn˥ jɐn˨˩/
恩仇	/jɐn˥ sɐu˨˩/
恩典	/jɐn˥ ti:n˧˥/
恩同再造	/jɐn˥ tʰʊŋ˨˩ tsɔ:i˧ tsou˨/
恩寵	/jɐn˥ tsʰʊŋ˧˥/
恩將仇報	/jɐn˥ tsœ:ŋ˥ sɐu˨˩ pou˧/
恩師	/jɐn˥ si:˥/
恩怨	/jɐn˥ jy:n˧/
恩恩怨怨	/jɐn˥ jɐn˥ jy:n˧ jy:n˧/
恩恩愛愛	/jɐn˥ jɐn˥ ɔ:i˧ ɔ:i˧/, /jɐn˥ jɐn˥ ŋɔ:i˧ ŋɔ:i˧/
恩情	/jɐn˥ tsʰɪŋ˨˩/
恩惠	/jɐn˥ wɐi˨/
恩愛	/jɐn˥ ɔ:i˧/, /jɐn˥ ŋɔ:i˧/
恩愛夫妻	/jɐn˥ ɔ:i˧ fu:˥ tsʰɐi˥/, /jɐn˥ ŋɔ:i˧ fu:˥ tsʰɐi˥/
恩賜	/jɐn˥ tsʰi:˧/
恩重如山	/jɐn˥ tsʰʊŋ˩˧ jy:˨˩ sa:n˥/
恪	/kʰɔ:k˧/
恪守	/kʰɔ:k˧ sɐu˧˥/
恪守不渝	/kʰɔ:k˧ sɐu˧˥ pɐt˥ jy:˨˩/
恪遵	/kʰɔ:k˧ tsɵn˥/
恫	/tʊŋ˨/, /tʰʊŋ˥/
恫嚇	/tʊŋ˨ ha:k˧/
恬	/tʰi:m˨˩/, /tʰi:m˩˧/
恬不知恥	/tʰi:m˨˩ pɐt˥ tsi:˥ tsʰi:˧˥/
恬靜	/tʰi:m˨˩ tsɪŋ˨/
恭	/kʊŋ˥/
恭候	/kʊŋ˥ hɐu˨/
恭候光臨	/kʊŋ˥ hɐu˨ kwɔ:ŋ˥ lɐm˨˩/
恭候大駕	/kʊŋ˥ hɐu˨ ta:i˨ ka:˧/
恭喜	/kʊŋ˥ hei˧˥/
恭喜發財	/kʊŋ˥ hei˧˥ fa:t˧ tsʰɔ:i˨˩/
恭喜發財	/kʊŋ˥ hei˧˥ fa:t˧ tsʰɔ:i˨˩ lɐi˨ si:˨ tɐu˨ lɔ:i˨˩/
恭喜發財，利是豆來	/kʊŋ˥ hei˧˥ fa:t˧ tsʰɔ:i˨˩ lɐi˨ si:˨ tɐu˨ lɔ:i˨˩/
恭恭敬敬	/kʊŋ˥ kʊŋ˥ kɪŋ˧ kɪŋ˧/
恭敬	/kʊŋ˥ kɪŋ˧/
恭敬不如從命	/kʊŋ˥ kɪŋ˧ pɐt˥ jy:˨˩ tsʰʊŋ˨˩ mɪŋ˨/
恭祝	/kʊŋ˥ tsʊk˥/
恭維	/kʊŋ˥ wɐi˨˩/
恭賀	/kʊŋ˥ hɔ:˨/
恭賀新禧	/kʊŋ˥ hɔ:˨ sɐn˥ hei˥/
恭迎	/kʊŋ˥ jɪŋ˨˩/
恭順	/kʊŋ˥ sɵn˨/
恮	/tsʰy:n˨˩/
息	/sɐk˥/
息口	/sɪk˥ hɐu˧˥/
息孫	/sɐk˥ sy:n˥/
息影	/sɪk˥ jɪŋ˧˥/
息怒	/sɪk˥ nou˨/, /sɪk˥ lou˨/
息息相關	/sɪk˥ sɪk˥ sœ:ŋ˥ kwa:n˥/
恰	/hɐp˥/
恰當	/hɐp˥ tɔ:ŋ˧/
恰西	/hɐp˥ sɐi˥/
恲	/pʰa:ŋ˥/
恽	/wɐn˨/
悁	/ky:n˥/, /ky:n˧/
悃	/kʰwɐn˧˥/
悄	/tsʰi:u˧˥/, /tsʰi:u˩˧/
悅	/jy:t˨/
悅耳	/jy:t˨ ji:˩˧/
悇	/tʰou˨˩/
悈	/ka:i˧/
悉	/sɪk˥/
悊	/tsi:t˧/
悌	/tɐi˨/, /tʰɐi˩˧/
悍	/hɔ:n˩˧/, /hɔ:n˨/
悍將	/hɔ:n˨ tsœ:ŋ˧/
悐	/tʰɪk˥/
悒	/jɐp˥/
悒鬱	/jɐp˥ wɐt˥/
悔	/fu:i˧/
悔恨	/fu:i˧ hɐn˨/
悔悟	/fu:i˧ ŋ˨/
悕	/hei˥/
悖	/pu:i˧/, /pu:i˨/
悖論	/pu:i˨ lɵn˨/
悗	/mu:n˨˩/, /mu:n˩˧/
悚	/sʊŋ˧˥/
悛	/sy:n˥/
悝	/fu:i˥/
悞	/ŋ˨/
悟	/ŋ˨/
悠	/jɐu˨˩/
悠久	/jɐu˨˩ kɐu˧˥/
悠哉	/jɐu˨˩ tsɔ:i˥/
悠哉悠哉	/jɐu˨˩ tsɔ:i˥ jɐu˨˩ tsɔ:i˥/
悠閑	/jɐu˥ ha:n˨˩/
悠閒	/jɐu˥ ha:n˨˩/
悢	/lœ:ŋ˨/, /lɔ:ŋ˩˧/
患	/wa:n˨/
患病	/wa:n˨ pɛ:ŋ˨/
悤	/tsʰʊŋ˥/
您	/nei˩˧/
悩	/nou˩˧/
悭	/hɐn˥/
悰	/tsʰʊŋ˨˩/, /tsʊŋ˥/
悱	/fei˧˥/
悱惻	/fei˧˥ tsʰɐk˥/
悲	/pei˥/
悲劇	/pei˥ kʰɛ:k˨/
悲哀	/pei˥ ɔ:i˥/, /pei˥ ŋɔ:i˥/
悲壯	/pei˥ tsɔ:ŋ˧/
悲慘	/pei˥ tsʰa:m˧˥/
悲慟	/pei˥ tʊŋ˨/
悲憤填膺	/pei˥ fɐn˩˧ tʰi:n˨˩ jɪŋ˥/
悲觀	/pei˥ ku:n˥/
悳	/tɐk˥/
悴	/sɵy˩˧/, /sɵy˨/
悵	/tsʰœ:ŋ˧/, /tsœ:ŋ˧/
悵惘	/tsʰœ:ŋ˧ mɔ:ŋ˩˧/
悶	/mu:n˨/
悶到死	/mu:n˨ tou˧ sei˧˥/
悷	/lɐi˨/
悸	/kwɐi˧/, /kwɐi˨/
悺	/ku:n˧/
悻	/hɐŋ˩˧/, /hɐŋ˨/
悻悻離去	/hɐŋ˨ hɐŋ˨ lei˨˩ hɵy˧/
悼	/tou˨/
悼唁	/tou˨ ji:n˨/
悼念	/tou˨ ni:m˨/, /tou˨ li:m˨/
悽	/tsʰɐi˥/
悾	/hʊŋ˥/
惀	/lɵn˨˩/
惄	/nɪk˨/
情	/tsʰɪŋ˨˩/
情不自禁	/tsʰɪŋ˨˩ pɐt˥ tsi:˨ kɐm˥/
情事	/tsʰɪŋ˨˩ si:˨/
情人	/tsʰɪŋ˨˩ jɐn˨˩/
情人眼裏出西施	/tsʰɪŋ˨˩ jɐn˨˩ ŋa:n˩˧ lɵy˩˧ tsʰɵt˥ sɐi˥ si:˥/, /tsʰɪŋ˨˩ jɐn˨˩ a:n˩˧ lɵy˩˧ tsʰɵt˥ sɐi˥ si:˥/
情人眼裡出西施	/tsʰɪŋ˨˩ jɐn˨˩ ŋa:n˩˧ lɵy˩˧ tsʰɵt˥ sɐi˥ si:˥/, /tsʰɪŋ˨˩ jɐn˨˩ a:n˩˧ lɵy˩˧ tsʰɵt˥ sɐi˥ si:˥/
情人節	/tsʰɪŋ˨˩ jɐn˨˩ tsi:t˧/
情侶	/tsʰɪŋ˨˩ lɵy˩˧/
情信	/tsʰɪŋ˨˩ sɵn˧/
情勢	/tsʰɪŋ˨˩ sɐi˧/
情同手足	/tsʰɪŋ˨˩ tʰʊŋ˨˩ sɐu˧˥ tsʊk˥/
情商	/tsʰɪŋ˨˩ sœ:ŋ˥/
情報	/tsʰɪŋ˨˩ pou˧/
情報員	/tsʰɪŋ˨˩ pou˧ jy:n˨˩/
情報局	/tsʰɪŋ˨˩ pou˧ kʊk˨/
情場	/tsʰɪŋ˨˩ tsʰœ:ŋ˨˩/
情境	/tsʰɪŋ˨˩ kɪŋ˧˥/
情夫	/tsʰɪŋ˨˩ fu:˥/
情婦	/tsʰɪŋ˨˩ fu:˩˧/
情形	/tsʰɪŋ˨˩ jɪŋ˨˩/
情急	/tsʰɪŋ˨˩ kɐp˥/
情急之下	/tsʰɪŋ˨˩ kɐp˥ tsi:˥ ha:˨/
情急智生	/tsʰɪŋ˨˩ kɐp˥ tsi:˧ sɐŋ˥/
情意	/tsʰɪŋ˨˩ ji:˧/
情愛	/tsʰɪŋ˨˩ ɔ:i˧/, /tsʰɪŋ˨˩ ŋɔ:i˧/
情感	/tsʰɪŋ˨˩ kɐm˧˥/
情愫	/tsʰɪŋ˨˩ sou˧/
情慾	/tsʰɪŋ˨˩ jʊk˨/
情懷	/tsʰɪŋ˨˩ wa:i˨˩/
情投意合	/tsʰɪŋ˨˩ tʰɐu˨˩ ji:˧ hɐp˨/
情操	/tsʰɪŋ˨˩ tsʰou˥/
情敵	/tsʰɪŋ˨˩ tɪk˨/
情景	/tsʰɪŋ˨˩ kɪŋ˧˥/
情書	/tsʰɪŋ˨˩ sy:˥/
情有獨鍾	/tsʰɪŋ˨˩ jɐu˩˧ tʊk˨ tsʊŋ˥/
情歌	/tsʰɪŋ˨˩ kɔ:˥/
情況	/tsʰɪŋ˨˩ fɔ:ŋ˧/
情竇初開	/tsʰɪŋ˨˩ tɐu˨ tsʰɔ:˥ hɔ:i˥/
情節	/tsʰɪŋ˨˩ tsi:t˧/
情結	/tsʰɪŋ˨˩ ki:t˧/
情緒	/tsʰɪŋ˨˩ sɵy˩˧/
情緒化	/tsʰɪŋ˨˩ sɵy˩˧ fa:˧/
情至意盡	/tsʰɪŋ˨˩ tsi:˧ ji:˧ tsɵn˨/
情色	/tsʰɪŋ˨˩ sɪk˥/
情詩	/tsʰɪŋ˨˩ si:˥/
情誼	/tsʰɪŋ˨˩ ji:˨˩/
情調	/tsʰɪŋ˨˩ ti:u˨/
