a	/aː/
óbreyttur	/ouːpreihtʏr/
óbrotinn	/ouːprɔtɪn/
óbrotnir	/ouːprɔhtnɪr/
óbrúuð	/ouːpruːʏð/
óbugandi	/ouːpʏɣantɪ/
óburstaða	/ouːpʏr̥staða/
óbyggðir	/ouːpɪɣðɪr/
óbyggðum	/ouːpɪɣðʏm/
óbærileg	/ouːpairɪlɛɣ/
óbærilega	/ouːpairɪlɛɣa/
óbærilegt	/ouːpairɪlɛxt/
óbærilegur	/ouːpairɪlɛɣʏr/
ódauðleg	/ouːtœiðlɛɣ/
ódauðlega	/ouːtœiðlɛɣa/
ódámurinn	/ouːtaumʏrɪn/
ódrepandi	/ouːtrɛpantɪ/
ódrjúgsháls	/ouːtrjuxshauls/
ódýr	/ouːtir/
ódýra	/ouːtira/
ódýran	/ouːtiran/
ódýrar	/ouːtirar/
ódýrara	/ouːtirara/
ódýrari	/ouːtirarɪ/
ódýrast	/ouːtirast/
ódýrasta	/ouːtirasta/
ódýrt	/ouːtir̥t/
ódýru	/ouːtirʏ/
ódýrum	/ouːtirʏm/
ódýrustu	/ouːtirʏstʏ/
ódæði	/ouːtaiðɪ/
ódæðið	/ouːtaiðɪð/
ódæðinu	/ouːtaiðɪnʏ/
ódæðisverk	/ouːtaðɪsvɛr̥k/
óð	/ouːð/
óða	/ouːða/
óðagot	/ouːðakɔːt/
óðagoti	/ouːðakɔːtɪ/
óðal	/ouːðal/
óðamála	/ouːðamauːla/
óðar	/ouːðar/
óðara	/ouːðara/
óðaönn	/ouːðaœn/
óðfluga	/ouðflʏɣa/
Óðinn	/ouːðɪn/
Óðins	/ouːðɪns/
Óðinsdóttir	/ouːðɪnstouhtɪr/
Óðinsgötu	/ouːðɪnskœːtʏ/
Óðinsvéum	/ouːðɪnsvjɛːʏm/
óðir	/ouːðɪr/
Óðni	/ouðnɪ/
óðs	/ouðs/
óðslega	/ouðstlɛɣa/
óðu	/ouːðʏ/
óðum	/ouːðʏm/
óður	/ouːðʏr/
óeðli	/ouːɛðlɪ/
óeðlileg	/ouːɛðlɪlɛɣ/
óeðlilega	/ouːɛðlɪlɛɣa/
óeðlilegt	/ouːɛðlɪlɛxt/
óefni	/ouːɛpnɪ/
óeigingjarnt	/ouːeijɪncarn̥t/
óeinkennisklæddir	/ouːeiɲcɛnɪsklaitɪr/
óeirðir	/ouːeirðɪr/
óeirðum	/ouːeirðʏm/
óendanleg	/ouːɛntanlɛɣ/
óendanlega	/ouːɛntanlɛɣa/
óendanlegar	/ouːɛntanlɛɣar/
óendanlegri	/ouːɛntanlɛɣrɪ/
óendanleika	/ouːɛntanleiːka/
óf	/ouːv/
ófaglærðra	/ouːfaɣlajrðra/
ófarir	/ouːfarɪr/
ófarirnar	/ouːfarɪtnar/
ófá	/ouːfau/
ófáar	/ouːfauar/
Ófáir	/ouːfauːɪr/
ófáum	/ouːfauʏm/
ófeigi	/ouːfeijɪ/
ófeigs	/ouːfeixs/
Ófeigsfirði	/ouːfeixsfɪrðɪ/
Ófeigsson	/ouːfeixsɔːn/
ófeigur	/ouːfeiɣʏr/
ófeimin	/ouːfeimɪn/
ófeiminn	/ouːfeimɪn/
ófleygir	/ouːfleijɪr/
óforbetranlegur	/ouːfɔrpɛtranlɛɣʏr/
óformlega	/ouːfɔrmlɛɣa/
óformlegar	/ouːfɔrmlɛɣar/
óformlegum	/ouːfɔrmlɛɣʏm/
óforvarandis	/ouːfɔrvarantɪs/
ófrávíkjanleg	/ouːfrauvicanlɛɣ/
ófrávíkjanlega	/ouːfrauvicanlɛɣa/
ófremdarástand	/ouːfrɛmtarauːstant/
ófreskja	/ouːfrɛsca/
ófreskju	/ouːfrɛscʏ/
ófreskjuna	/ouːfrɛscʏna/
ófriðlega	/ouːfrɪðlɛɣa/
ófríð	/ouːfrið/
ófríður	/ouːfriðʏr/
ófrísk	/ouːfrisk/
ófrjálsri	/ouːfrjaulsrɪ/
ófrjóa	/ouːfrjoua/
ófullnægjandi	/ouːfʏtl̥naijantɪ/
ófús	/ouːfus/
ófyrirgefanleg	/ouːfɪrɪrcɛvanlɛɣ/
ófyrirleitni	/ouːfɪrɪrleihtnɪ/
ófyrirsjáanlegum	/ouːfɪrɪrsjauanlɛɣʏm/
ófær	/ouːfair/
ófærð	/ouːfairð/
ófærir	/ouːfairɪr/
ófært	/ouːfair̥t/
ófætt	/ouːfaiht/
óförum	/ouːfœrʏm/
ógáti	/ouːkautɪ/
ógeð	/ouːcɛð/
ógeðfelld	/ouːcɛðfɛlt/
ógeðfellda	/ouːcɛðfɛlta/
ógeðfellt	/ouːcɛðfɛl̥t/
ógeði	/ouːcɛðɪ/
ógeðið	/ouːcɛðɪð/
ógeðsleg	/ouːcɛðstlɛɣ/
ógeðslega	/ouːcɛðstlɛɣra/
ógeðslegt	/ouːcɛðstlɛxt/
ógeðslegu	/ouːcɛðstlɛɣʏ/
ógeðslegur	/ouːcɛðstlɛɣʏr/
ógerlegt	/ouːcɛrlɛxt/
ógerningur	/ouːcɛrtniŋkʏr/
ógert	/ouːcɛr̥t/
ógetið	/ouːcɛtɪð/
ógift	/ouːcɪft/
ógild	/ouːcɪlt/
ógilda	/ouːcɪlta/
ógilt	/ouːcɪl̥t/
ógjarn	/ouːcatn̥/
ógjörningur	/ouːcœrtniŋkʏr/
óglatt	/ouːklaht/
ógleði	/ouːklɛðɪ/
ógleðin	/ouːklɛðɪn/
ógleymanleg	/ouːkleimanlɛɣ/
ógleymanlega	/ouːkleimanlɛɣa/
ógleymanlegar	/ouːkleimanlɛɣar/
ógleymanlegt	/ouːkleimanlɛxt/
ógleymanlegu	/ouːkleimanlɛɣʏ/
ógleymanlegur	/ouːkleimanlɛɣʏr/
ógleymdri	/ouːkleimtrɪ/
ógleymdu	/ouːkleimtʏ/
ógleymdum	/ouːkleimtʏm/
ógn	/oukn̥/
ógna	/oukna/
ógnað	/ouknað/
ógnaði	/ouknaðɪ/
ógnandi	/ouknantɪ/
ógnar	/ouknar/
ógnarstjórn	/ouknarstjourtn̥/
ógnarstórum	/ouknarstouːrʏm/
ógni	/ouknɪ/
ógnin	/ouknɪn/
ógninni	/ouknɪnɪ/
ógnir	/ouknɪr/
ógnuðu	/ouknʏðʏ/
ógnum	/ouknʏm/
ógnun	/ouknʏn/
ógnvekjandi	/oukn̥vɛcantɪ/
ógnvænleg	/oukn̥vainlɛɣ/
ógnvænlegri	/ouknvajnlɛɣrɪ/
ógnvænlegum	/oukn̥vainlɛɣʏm/
ógreinileg	/ouːkreinɪlɛɣ/
ógreinilega	/ouːkreinɪlɛɣa/
ógreinilegri	/ouːkreinɪlɛɣrɪ/
ógreinilegt	/ouːkreinɪlɛxt/
ógrynni	/ouːkrɪnɪ/
ógurleg	/ouːʏrlɛɣ/
ógurlega	/ouːʏrlɛɣa/
ógurlegan	/ouːʏrlɛɣar/
ógurlegt	/ouːʏrlɛxt/
ógurlegu	/ouːʏrlɛɣʏ/
ógurlegum	/ouːʏrlɛɣʏm/
ógurlegur	/ouːʏrlɛɣʏr/
ógæfa	/ouːcaiva/
ógæfan	/ouːcaivan/
ógæfu	/ouːcaivʏ/
ógæfusama	/ouːcaivʏsaːma/
ógæfusömu	/ouːcaivʏsœːmʏ/
ógöngum	/ouːkœiŋkʏm/
ógöngunum	/ouːkœiŋkɔnʏm/
ógöngur	/ouːkœiŋkʏr/
óhag	/ouːhaɣ/
óhagganleg	/ouːhakanlɛɣ/
óhagganlegur	/ouːhakanlɛɣʏr/
óhagræði	/ouːhaɣraiðɪ/
óhagstæð	/ouːhaxstaið/
óhagstætt	/ouːhaxstaiht/
óhamingjusamur	/ouːhamiɲcʏsaːmʏr/
óhamingjusöm	/ouːhamiɲcʏsœːm/
óhapp	/ouːhahp/
óhappa	/ouːhahpa/
óhappi	/ouːhahpɪ/
óhappið	/ouːhahpɪð/
óháð	/ouːhauð/
óháða	/ouːhauða/
óháðar	/ouːhauðar/
óháðir	/ouːhauðɪr/
óháðra	/ouːhauðra/
óháðu	/ouːhauðʏ/
óháðum	/ouːhauðʏm/
óháður	/ouːhauðʏr/
óhefðbundnar	/ouːhɛvðpʏntnar/
óhefðbundnum	/ouːhɛvðpʏntnʏm/
óheflað	/ouːhɛplað/
óheft	/ouːhɛft/
óheftur	/ouːhɛftʏr/
óhegnt	/ouːhɛxŋ̥t/
óheimil	/ouːheimɪl/
óheimilt	/ouːheimɪl̥t/
óhemju	/ouːhɛmjʏ/
óheppileg	/ouːhɛhpɪlɛɣ/
óheppilega	/ouːhɛhpɪlɛɣa/
óheppilegt	/ouːhɛhpɪlɛxt/
óheppin	/ouːhɛhpɪn/
óheppinn	/ouːhɛhpɪn/
óheppni	/ouːhɛhpnɪ/
óheppnir	/ouːhɛhpnɪr/
óheyrilega	/ouːheirɪlɛɣa/
óhikað	/ouːhɪkað/
óhindrað	/ouːhɪntrað/
óhjákvæmileg	/ouːçaukvaimɪlɛɣ/
óhjákvæmilega	/ouːçaukvaimɪlɛɣa/
óhjákvæmilegt	/ouːçaukvaimɪlɛxt/
óhjákvæmilegur	/ouːçaukvaimɪlɛɣʏr/
óhljóð	/ouːl̥jouð/
óhlutbundinni	/ouːl̥ʏtpʏntɪnɪ/
óhlutdrægni	/ouːl̥ʏtraiknɪ/
óhlýðnast	/ouːl̥iðnast/
óhlýðni	/ouːl̥iðnɪ/
óhollt	/ouːhɔl̥t/
óhóflega	/ouːhouvlɛɣa/
óhrein	/ouːr̥ein/
óhreina	/ouːr̥eina/
óhreinar	/ouːr̥einar/
óhreinindi	/ouːr̥einɪntɪ/
óhreinindum	/ouːr̥einɪntʏm/
óhreinir	/ouːr̥einɪr/
óhreinka	/ouːr̥eiŋ̊ka/
óhreinn	/ouːr̥eitn̥/
óhreinu	/ouːr̥einʏ/
óhreinum	/ouːr̥einʏm/
óhress	/ouːr̥ɛs/
óhreyft	/ouːr̥eift/
óhrjálegar	/ouːr̥jaulɛːɣar/
óhrædd	/ouːr̥ait/
óhræddir	/ouːr̥aitɪr/
óhræddur	/ouːr̥aitʏr/
óhug	/ouːhʏɣ/
óhuggandi	/ouːhʏkantɪ/
óhugnanleg	/ouːhʏknanlɛɣ/
óhugnanlega	/ouːhʏknanlɛɣa/
óhugnanlegt	/ouːhʏknanlɛxt/
óhugnanlegu	/ouːhʏknanlɛɣʏ/
óhugnanlegur	/ouːhʏknanlɛɣʏr/
óhugsandi	/ouːhʏksantɪ/
óhult	/ouːhʏl̥t/
óhæfur	/ouːhaivʏr/
óhægt	/ouːhaixt/
óhætt	/ouːhaiht/
óhöpp	/ouːhœhp/
óhöppum	/ouːhœhpʏm/
ójafnvægi	/ouːjapn̥vaijɪ/
ójá	/ouːjau/
ók	/ouːk/
ókei	/ouːkʰei/
ókey	/ouːkʰɛːj/
ókeypis	/ouːcʰeipɪs/
ókleift	/ouːkʰleift/
ókomin	/ouːkʰɔmɪn/
ókominn	/ouːkʰɔmɪn/
ókomna	/ouːkʰɔmna/
ókosti	/ouːkʰɔstɪ/
ókrýndur	/ouːkʰrintʏr/
óku	/ouːkʏ/
ókum	/ouːkʏm/
ókunn	/ouːkʰʏn/
ókunna	/ouːkʰʏna/
ókunnan	/ouːkʰʏnan/
ókunnar	/ouːkʰʏnar/
ókunni	/ouːkʰʏnɪ/
ókunnri	/ouːkʰʏnrɪ/
ókunnu	/ouːkʰʏnʏ/
ókunnuga	/ouːkʰʏnʏɣa/
ókunnugan	/ouːkʰʏnʏɣan/
ókunnugi	/ouːkʰʏnʏijɪ/
ókunnugir	/ouːkʰʏnʏijɪr/
ókunnugs	/ouːkʰʏnʏxs/
ókunnugt	/ouːkʰʏnʏxt/
ókunnugu	/ouːkʰʏnʏɣʏ/
ókunnugum	/ouːkʰʏnʏɣʏm/
ókunnugur	/ouːkʰʏnʏɣʏr/
ókunnum	/ouːkʰʏnʏm/
ókunnur	/ouːkʰʏnʏr/
ókurteisi	/ouːkʰʏr̥teisɪ/
ókvæða	/ouːkʰvaiða/
ókvæðisorð	/ouːkʰvaiðɪsɔrð/
ókvæðisorðum	/ouːkʰvaiðɪsɔrðʏm/
ókvæntur	/ouːkʰvain̥tʏr/
ókyrrast	/ouːcʰɪrast/
ókyrrð	/ouːcʰɪrð/
ókyrrist	/ouːcʰɪrɪst/
ól	/ouːl/
Óla	/ouːla/
Óladóttir	/ouːlatouhtɪr/
Ólaf	/ouːlav/
Ólafar	/ouːlavar/
Ólafi	/ouːlavɪ/
Ólafía	/ouːlavija/
Ólafs	/ouːlafs/
Ólafsdóttir	/ouːlafstouhtɪr/
Ólafsdóttur	/ouːlafstouhtʏr/
Ólafsfirði	/ouːlafsfɪrðɪ/
Ólafsfirðingar	/ouːlafsfɪrðiŋkar/
Ólafsfjarðar	/ouːlafsfjarðar/
Ólafsfjörð	/ouːlafsfjœrð/
Ólafsson	/ouːlafsɔːn/
Ólafssonar	/ouːlafsɔːnar/
ólafssúran	/ouːlafsuːran/
Ólafssyni	/ouːlafsɪːnɪ/
Ólafsvík	/ouːlafsviːk/
ólafsvíkinga	/ouːlavsviciŋka/
Ólafsvíkur	/ouːlafsviːkʏr/
ólafsvíkurkirkju	/ouːlafsviːkʏrcʰɪr̥cʏ/
Ólafur	/ouːlavʏr/
ólagi	/ouːlaijɪ/
Ólason	/ouːlasɔːn/
Ólasonar	/ouːlasɔːnar/
ólán	/ouːlaun/
óláni	/ouːlaunɪ/
ólesin	/ouːlɛsɪn/
ólestri	/ouːlɛstrɪ/
óleyst	/ouːleist/
ólétt	/ouːljɛht/
ólétta	/ouːljɛhta/
óléttar	/ouːljɛhtar/
ólga	/oulka/
ólgaði	/oulkaðɪ/
ólgandi	/oulkantɪ/
ólgu	/oulkʏ/
ólgusjó	/oulkʏsjouː/
Óli	/ouːlɪ/
ólifað	/ouːlɪvað/
ólina	/ouːlɪna/
ólinni	/ouːlɪnɪ/
óliver	/ouːlɪvɛr/
ólífum	/ouːlivʏm/
ólífuolía	/ouːlivʏɔːlija/
ólífuolíu	/ouːlivʏɔːlijʏ/
ólífur	/ouːlivʏr/
ólífurnar	/ouːlivʏtnar/
ólík	/ouːlik/
ólíka	/ouːlika/
ólíkan	/ouːlikan/
ólíkar	/ouːlikar/
ólíkindum	/ouːlicɪntʏm/
ólíkir	/ouːlicɪr/
ólíklega	/ouːliklɛɣa/
ólíklegt	/ouːliklɛxt/
ólíklegustu	/ouːliklɛɣʏstʏ/
ólíkra	/ouːlikra/
ólíkt	/ouːlixt/
ólíku	/ouːlikʏ/
ólíkum	/ouːlikʏm/
ólíkur	/ouːlikʏr/
ólíkustu	/ouːlikʏstʏ/
Ólínu	/ouːlinʏ/
óljós	/ouːljous/
óljósan	/ouːljousan/
óljósar	/ouːljousar/
óljósri	/ouːljousrɪ/
óljóst	/ouːljoust/
óljósu	/ouːljousʏ/
óljósum	/ouːljousʏm/
óljúft	/ouːljuft/
ólm	/oulm/
ólmir	/oulmɪr/
ólmur	/oulmʏr/
ólokið	/ouːlɔcɪð/
ólsen	/oulsɛn/
ólst	/oulst/
ólu	/ouːlʏ/
ólukkans	/ouːlʏhkans/
ólum	/ouːlʏm/
ólumst	/ouːlʏmst/
ólundarlega	/ouːlʏntarlɛɣa/
ólust	/ouːlʏst/
ólykt	/ouːlɪxt/
ólympíugreinum	/ouːlɪmpijʏkrɛːjnʏm/
Ólympíuleika	/ouːlɪmpijʏleiːka/
Ólympíuleikana	/ouːlɪmpijʏleiːkana/
Ólympíuleikanna	/ouːlɪmpijʏleiːkana/
Ólympíuleikar	/ouːlɪmpijʏleiːkar/
Ólympíuleikarnir	/ouːlɪmpijʏleiːkatnɪr/
Ólympíuleikum	/ouːlɪmpijʏleiːkʏm/
Ólympíuleikunum	/ouːlɪmpijʏleiːkɔnʏm/
Ólympíuleikvanginum	/ouːlɪmpijʏleiːkvauɲcɪnʏm/
Ólympíumeistari	/ouːlɪmpijʏmeistarɪ/
ólympíunefndarinnar	/ouːlɪmpijʏnɛmtarɪnar/
ólympíusamband	/ouːlɪmpijʏsampant/
Ólympíuskrifstofunni	/ouːlɪmpijʏskrɪfstɔvʏnɪ/
ólýsanleg	/ouːlisanlɛɣ/
ólýsanlega	/ouːlisanlɛɣra/
ólýsanlegri	/ouːlisanlɛɣrɪ/
ólæknandi	/ouːlaihknantɪ/
ólæst	/ouːlaist/
ólæstar	/ouːlaistar/
Ólöf	/ouːlœv/
Ólöfu	/ouːlœvʏ/
ólögleg	/ouːlœɣlɛɣ/
ólöglega	/ouːlœɣlɛɣa/
ólöglegar	/ouːlœɣlɛɣar/
ólöglegra	/ouːlœɣlɛɣra/
ólöglegri	/ouːlœɣlɛɣrɪ/
ólöglegt	/ouːlœɣlɛxt/
ólöglegu	/ouːlœɣlɛɣʏ/
ólöglegum	/ouːlœɣlɛɣʏm/
ólögmæt	/ouːlœɣmait/
ólögmæta	/ouːlœɣmaita/
ólögmætt	/ouːlœɣmaiht/
ólöstuðum	/ouːlœstʏðʏm/
óma	/ouːma/
ómaði	/ouːmaðɪ/
ómagar	/ouːmaɣar/
ómak	/ouːmak/
ómaka	/ouːmaka/
ómakið	/ouːmacɪð/
ómaksins	/ouːmaksɪns/
Ómar	/ouːmar/
Ómari	/ouːmarɪ/
ómarkviss	/ouːmar̥kvɪs/
Ómars	/ouːmar̥s/
Ómarsdóttir	/ouːmar̥stouhtɪr/
Ómarsdóttur	/ouːmar̥stouhtʏr/
Ómarsson	/ouːmar̥sɔːn/
ómálga	/ouːmaulka/
ómeðvitað	/ouːmɛðvɪtað/
ómegð	/ouːmɛɣð/
ómegin	/ouːmeijɪn/
ómeiddur	/ouːmeitʏr/
ómennsku	/ouːmɛnskʏ/
ómenntaður	/ouːmɛn̥taðʏr/
ómerk	/ouːmɛr̥k/
ómerkari	/ouːmɛr̥karɪ/
ómerkilega	/ouːmɛr̥cɪlɛɣa/
ómerkilegri	/ouːmɛr̥cɪlɛɣrɪ/
ómerkilegt	/ouːmɛr̥cɪlɛxt/
ómerkilegu	/ouːmɛr̥cɪlɛɣʏ/
ómerkilegur	/ouːmɛr̥cɪlɛɣʏr/
ómerkt	/ouːmɛr̥t/
ómetanleg	/ouːmɛtanlɛɣ/
ómetanlega	/ouːmɛtanlɛɣa/
ómetanlegan	/ouːmɛtanlɛɣan/
ómetanlegar	/ouːmɛtanlɛɣar/
ómetanlegt	/ouːmɛtanlɛxt/
ómetanlegur	/ouːmɛtanlɛɣʏr/
óminnið	/ouːmɪnɪð/
ómissandi	/ouːmɪsantɪ/
ómótstæðileg	/ouːmoutstaiðɪlɛɣ/
ómótstæðilega	/ouːmoutstaiðɪlɛɣa/
ómótstæðilegt	/ouːmoutstaiðɪlɛxt/
ómótt	/ouːmouht/
ómtæki	/ouːmtʰajcɪ/
ómuðu	/ouːmʏðʏ/
ómunatíð	/ouːmʏnatiːð/
ómur	/ouːmʏr/
ómurinn	/ouːmʏrɪn/
ómæld	/ouːmailt/
ómælda	/ouːmailta/
ómældrar	/ouːmailtrar/
ómældum	/ouːmailtʏm/
ómælt	/ouːmail̥t/
ómöguleg	/ouːmœɣʏlɛɣ/
ómögulega	/ouːmœɣʏlɛɣa/
ómögulegt	/ouːmœɣʏlɛxt/
ómögulegur	/ouːmœɣʏlɛɣʏr/
ónafngreindum	/ouːnapn̥kreintʏm/
ónáðaði	/ouːnauðaðɪ/
ónákvæmni	/ouːnaukvaimnɪ/
ónefndum	/ouːnɛmtʏm/
óneitanlega	/ouːneitanlɛɣa/
ónotalega	/ouːnɔtalɛɣa/
ónotalegt	/ouːnɔtalɛxt/
ónotuð	/ouːnɔtʏð/
ónotum	/ouːnɔðʏm/
ónyx	/ouːnɪks/
ónýt	/ouːnit/
ónýta	/ouːnita/
ónýtan	/ouːnitan/
ónýtir	/ouːnitɪr/
ónýtt	/ouːniht/
ónýtur	/ouːnitʏr/
ónæði	/ouːnaiðɪ/
ónæðið	/ouːnaiðɪð/
ónæmisaðgerðir	/ouːnaimɪsaðcɛrðɪr/
ónæmiskerfi	/ouːnaimɪscʰɛrvɪ/
ónæmiskerfið	/ouːnaimɪscʰɛrvɪð/
ónæmisskírteini	/ouːnaimɪscir̥teinɪ/
ónæmur	/ouːnaimʏr/
óp	/ouːp/
ópera	/ouːpʰɛra/
Óperan	/ouːpʰɛran/
ópersónuleg	/ouːpʰɛr̥sounʏlɛɣ/
óperu	/ouːpʰɛrʏ/
óperuhús	/ouːpʰɛrʏhuːs/
óperuhúsum	/ouːpʰɛrʏhuːsʏm/
óperum	/ouːpʰɛrʏm/
óperuna	/ouːpʰɛrʏna/
óperunnar	/ouːpʰɛrʏnar/
óperunni	/ouːpʰɛrʏnɪ/
óperur	/ouːpʰɛrʏr/
óperusöngvara	/ouːpʰɛrʏsœiŋkvara/
óperusöngvararnir	/ouːpʰɛrʏsœjŋkvaratnɪr/
óperusöngvari	/ouːpʰɛrʏsœiŋkvarɪ/
ópi	/ouːpɪ/
ópið	/ouːpɪð/
ópíum	/ouːpʰijʏm/
ópum	/ouːpʏm/
ópus	/ouːpʏs/
ópuskerfin	/ouːpʏscʰɛrvɪn/
órað	/ouːrað/
óraði	/ouːraðɪ/
órafjarri	/ouːrafjarɪ/
órafmögnuð	/ouːravmœknʏð/
órakaður	/ouːrakaðʏr/
óralangt	/ouːralauŋ̊t/
óralengi	/ouːraleiɲcɪ/
órangúta	/ouːraŋkuːta/
órannsakanlegir	/ouːransakanleijɪr/
órans	/ouːrans/
óratíma	/ouːratʰiːma/
óraunhæfar	/ouːrœinhaivar/
óraunhæft	/ouːrœinhaift/
Óraunsæi	/ouːrœinsaiːjɪ/
óraunverulega	/ouːrœinvɛrʏlɛɣa/
óraunverulegt	/ouːrœinvɛrʏlɛxt/
óravíddum	/ouːravitʏm/
óráði	/ouːrauðɪ/
óráðin	/ouːrauðɪn/
óráðshjal	/ouːrauðsçaːl/
óreganó	/ouːrɛkaːnou/
óreglu	/ouːrɛklʏ/
óreglulega	/ouːrɛklʏna/
óreglusömu	/ouːrɛklʏsœːmʏ/
óreiða	/ouːreiða/
óreiðu	/ouːreiðʏ/
óreiðuna	/ouːreiðʏna/
óreiðunni	/ouːreiðʏnɪ/
óreiðuverkefni	/ouːrɛjðʏvɛr̥kɛpnɪ/
óreyndir	/ouːreintɪr/
óreyndu	/ouːreintʏ/
óreyndur	/ouːreintʏr/
óréttlátt	/ouːrjɛhtlauht/
óréttlæti	/ouːrjɛhtlaitɪ/
óréttmætu	/ouːrjɛhtmajːtʏ/
óríon	/ouːriɔn/
órjúfanlegum	/ouːrjuvanlɛɣʏm/
órjúfanlegur	/ouːrjuvanlɛɣʏr/
órofa	/ouːrɔva/
óróa	/ouːroua/
óróann	/ouːrouan/
óróanum	/ouːrouanʏm/
óróatímana	/ouːrouatʰiːmana/
órói	/ouːrouɪ/
órólega	/ouːroulɛɣa/
órólegan	/ouːroulɛɣan/
órólegir	/ouːrouleijɪr/
órólegt	/ouːroulɛxt/
órólegu	/ouːroulɛɣʏ/
órólegur	/ouːroulɛɣʏr/
óróleik	/ouːrouleiːk/
óróleika	/ouːrouleiːka/
óróleiki	/ouːrouleiːcɪ/
órótt	/ourouht/
óræð	/ouːraið/
óræða	/ouːraiða/
óræðum	/ouːraiðʏm/
óræður	/ouːraiðʏr/
órækt	/ouːraixt/
órætt	/ouːraiht/
órökstuddum	/ouːrœkstʏtʏm/
Ósa	/ouːsa/
ósagt	/ouːsaxt/
ósamfasa	/ouːsamfasa/
ósammála	/ouːsamaula/
ósamræmi	/ouːsamraimɪ/
ósannað	/ouːsanað/
ósannfærandi	/ouːsanfairantɪ/
ósanngjarn	/ouːsancatn̥/
ósanngjarnt	/ouːsancar̥t/
ósanngjörn	/ouːsancœtn̥/
ósannindi	/ouːsanɪntɪ/
ósatt	/ouːsaht/
ósátt	/ouːsauht/
ósáttir	/ouːsauhtɪr/
ósáttur	/ouːsauhtʏr/
ósegjanlega	/ouːseijanlɛɣa/
ósekju	/ouːsɛcʏ/
ósennilegt	/ouːsɛnɪlɛxt/
óséð	/ouːsjɛð/
óséður	/ouːsjɛðʏr/
ósérhlífin	/ouːsjɛrl̥iːvɪn/
ósérhlífinn	/ouːsjɛrl̥iːvɪn/
ósérhlífni	/ouːsjɛrl̥ipnɪ/
óshlíð	/ouːsl̥ið/
Ósi	/ouːsɪ/
ósigrandi	/ouːsɪɣrantɪ/
ósigur	/ouːsɪɣʏr/
ósigurinn	/ouːsɪɣʏrɪn/
ósjaldan	/ouːsjaltan/
ósjálfbjarga	/ouːsjaulvpjarka/
ósjálfráð	/ouːsjaulvrauð/
ósjálfrátt	/ouːsjaulvrauht/
Ósk	/ousk/
óska	/ouska/
óskaddaður	/ouːskataðʏr/
óskað	/ouskað/
óskaði	/ouskaðɪ/
óskalag	/ouskalaɣ/
óskalagahádegi	/ouskalaɣahauːteijɪ/
óskalagaþáttur	/ouskalaɣaθauhtʏr/
óskalista	/ouskalɪsta/
óskalög	/ouskalœːɣ/
óskammfeilin	/ouːskamfeilɪn/
óskammfeilni	/ouːskamfeilnɪ/
óskandi	/ouskantɪ/
óskaplega	/ouːskaplɛɣa/
óskaplegum	/ouːskaplɛɣʏm/
óskaplegur	/ouːskaplɛɣʏr/
óskapnaður	/ouːskahpnaðʏr/
Óskar	/ouskar/
Óskari	/ouskarɪ/
Óskarinn	/ouskarɪn/
Óskars	/ouskar̥s/
Óskarsdóttir	/ouskar̥stouhtɪr/
Óskarsdóttur	/ouskar̥stouhtʏr/
Óskarsson	/ouskar̥sɔːn/
Óskarssonar	/ouskar̥sɔːnar/
Óskarssyni	/ouskar̥sɪːnɪ/
Óskarsverðlaun	/ouskar̥svɛrðlœin/
Óskarsverðlauna	/ouskar̥svɛrðlœina/
Óskarsverðlaunin	/ouskar̥svɛrðlœinɪn/
óskast	/ouskast/
óskastundin	/ouskastʏntɪn/
óskaveislustjóri	/ouskavɛjstlʏstjouːrɪ/
óskert	/ouːscɛr̥t/
óskhyggja	/ouskɪca/
óski	/ouscɪ/
óskilgetið	/ouːscɪlcɛtɪð/
óskilgetin	/ouːscɪlcɛtɪn/
óskilgetinn	/ouːscɪlcɛtɪn/
óskiljanleg	/ouːscɪljanlɛɣ/
óskiljanlega	/ouːscɪljanlɛɣa/
óskiljanlegar	/ouːscɪljanlɛɣar/
óskiljanlegri	/ouːscɪljanlɛɣrɪ/
óskiljanlegt	/ouːscɪljanlɛxt/
óskiljanlegu	/ouːscɪljanlɛɣʏ/
óskiljanlegum	/ouːscɪljanlɛɣʏm/
óskiljanlegur	/ouːscɪljanlɛɣʏr/
óskilum	/ouːscɪlʏm/
óskipt	/ouːscɪft/
óskipta	/ouːscɪfta/
óskiptur	/ouːscɪftʏr/
óskir	/ouːscɪr/
óskráð	/ouːskrauð/
óskráðum	/ouːskrauðʏm/
óskrifað	/ouːskrɪvað/
óskuðu	/ouskʏðʏ/
óskuðum	/ouskʏðʏm/
óskum	/ouskʏm/
óskunda	/ouːskʏnta/
óskurum	/ouskʏrʏm/
óskyld	/ouːscɪlt/
óskýr	/ouːscir/
óskýrar	/ouːscirar/
óskýrt	/ouːscir̥t/
ósködduð	/ouːskœtʏð/
ósköp	/ouːskœp/
ósköpin	/ouːskœpɪn/
ósköpum	/ouːskœpʏm/
ósköpunum	/ouːskœpɔnʏm/
óslitið	/ouːstlɪtɪð/
óslitinn	/ouːstlɪtɪn/
Óslóar	/ɔstlouar/
óslökkvandi	/ouːstlœhkvantɪ/
ósmekklegt	/ouːsmɛhklɛxt/
ósnert	/ouːstnɛr̥t/
ósnertanleg	/ouːstnɛr̥tanlɛɣ/
ósnortin	/ouːstnɔr̥tɪn/
ósnortinn	/ouːstnɔr̥tɪn/
ósnortinni	/ouːstnɔr̥tɪnɪ/
